Model,#States,BVI,G_OVI,LP_SI,OVI,T_LP_SI,T_OVI,WP_P3
simple,3,2,3,,3,,2,6
simple_1000000_10_SCC ,,,,,,,,
simple_1000000_1_SCC,3,51,75,,148,,46,95
simple_1000000_2_SCC,3,,,,,,48,
simple_1000000_4_SCC,3,,,,,,52,
simple_1000000_5_SCC,3,,,,,,54,
simple_100000_10_SCC,3,409,2224,,2405,,64,384
simple_100000_1_SCC,3,48,65,,134,,46,95
simple_100000_2_SCC,3,246,653,,704,,48,232
simple_100000_4_SCC,3,238,682,,712,,52,219
simple_100000_5_SCC,3,385,1361,,1971,,54,361
