Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,5,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,3,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,3,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,4,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,4,2,7
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,3,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,3,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,3,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,4,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,7,3,1
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,5,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,4,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,5,2,7
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,5,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,4,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,3,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,3,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,2,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,2,1,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,3,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,4,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,7,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,5,2,3
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,7,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,4,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,4,2,7
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,8,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,4,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,7,2,2
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,7,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,8,2,3
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,5,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,5,2,11
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,11,3,3
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,4,2,5
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,5,2,4
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,9,3,1
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,9,3,2
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,3,2,6
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,5,2,4
