Model,#States,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54,10012,0.46563889373562006,0.46563841708679676
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55,10012,0.47370037291233,0.47369988216851233
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56,10012,0.46796372013178916,0.4679632832671504
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57,10012,0.43615749586197994,0.4361570361129566
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58,10012,0.08218216058284825,0.08218172674263204
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59,10012,0.4844117708859828,0.48441132928183006
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_6,10012,0.48217313999426087,0.4821726454762536
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_60,10012,0.02291112840478615,0.022910791015309847
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_61,10012,0.04149191678178139,0.04149164130407429
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_62,10012,0.43571077177593837,0.4357103641278202
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,10012,0.032518413990334616,0.032518127313482734
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,10012,0.40387169613413787,0.4038712259688222
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,10012,0.029393616582191126,0.029393294568196067
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,10012,0.4843963626097939,0.4843958890703672
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,10012,0.41145771286458305,0.4114571812044895
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,10012,0.48421148746084974,0.484211028337683
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,10012,0.4720240463687101,0.472023493062005
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,10012,0.48740727215395074,0.48740687653155246
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,10012,0.48129423834752505,0.481293806216049
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,10012,0.026363460397283905,0.026363094596229618
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,10012,0.48197141528923204,0.4819709081730608
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,10012,0.03833796108040936,0.038337741907262385
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,10012,0.47525335447549716,0.4752527770768288
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,10012,0.11812738453118823,0.11812702487322091
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,10012,0.41987734275093896,0.41987691508620173
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,10012,0.030938371899052283,0.030938116707958502
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,10012,0.05899763998211188,0.05899731411780644
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,10012,0.02146737600242551,0.021467050181955348
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,10012,0.017803177693431142,0.017802890297321988
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,10012,0.04026805533251518,0.040267869044862833
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,10012,0.41523814520508673,0.41523757783004905
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,10012,0.4811602700148853,0.48115979396402786
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,10012,0.43186990802618874,0.4318695023731025
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,10012,0.4743233721370117,0.4743228039496584
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,10012,0.027538583204046015,0.027538330947561196
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,10012,0.04549537891332743,0.045495121788782025
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,10012,0.045506575915584914,0.0455061759606709
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,10012,0.03665632543992733,0.03665605441373984
