Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88, 10012, 94767, 1, 11, 10000, 51, 13, 2.0E-5, 94755, 9.465342, 59.168797, 6.2511, 4987, 5025, 0.17677474, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.081, 0.205, 0.094, 0.133
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89, 10012, 95370, 1, 11, 10000, 58, 13, 2.0E-5, 95358, 9.525569, 59.604576, 6.257324, 4997, 5015, 0.17702396, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.111, 0.131, 0.058, 0.133
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9, 10012, 95138, 1, 11, 10000, 59, 13, 2.0E-5, 95126, 9.502398, 59.43438, 6.254672, 4933, 5079, 0.17755778, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.037, 0.086, 0.031, 0.084
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90, 10012, 94731, 1, 11, 10000, 66, 13, 2.0E-5, 94719, 9.461746, 59.145424, 6.2510056, 4962, 5050, 0.17747448, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.042, 0.099, 0.025, 0.07
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91, 10012, 95176, 1, 11, 10000, 50, 13, 2.0E-5, 95164, 9.506192, 59.470036, 6.2559257, 4951, 5061, 0.17729512, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.037, 0.087, 0.026, 0.087
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92, 10012, 95024, 1, 11, 10000, 58, 13, 2.0E-5, 95012, 9.491011, 59.39942, 6.2584925, 5084, 4928, 0.17685011, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.045, 0.098, 0.028, 0.082
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93, 10012, 94635, 1, 11, 10000, 56, 14, 2.0E-5, 94623, 9.452157, 59.0836, 6.250806, 5068, 4944, 0.1765935, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.044, 0.09, 0.025, 0.067
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94, 10012, 95441, 1, 11, 10000, 58, 13, 2.0E-5, 95429, 9.5326605, 59.65801, 6.2582746, 5013, 4999, 0.1775937, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.042, 0.096, 0.025, 0.072
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95, 10012, 95582, 1, 11, 10000, 52, 12, 2.0E-5, 95570, 9.546744, 59.695366, 6.2529554, 4925, 5087, 0.17734535, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.058, 0.105, 0.049, 0.17
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96, 10012, 94641, 1, 11, 10000, 51, 12, 2.0E-5, 94629, 9.452757, 59.09189, 6.2512865, 5076, 4936, 0.17686959, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.055, 0.11, 0.052, 0.065
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97, 10012, 95026, 1, 11, 10000, 62, 13, 2.0E-5, 95014, 9.491211, 59.37695, 6.255993, 4997, 5015, 0.17684977, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.038, 0.098, 0.026, 0.08
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98, 10012, 95103, 1, 11, 10000, 76, 13, 2.0E-5, 95091, 9.498901, 59.43438, 6.256974, 5063, 4949, 0.17800815, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.036, 0.086, 0.033, 0.091
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99, 10012, 95164, 1, 11, 10000, 50, 13, 2.0E-5, 95152, 9.504994, 59.449062, 6.254508, 5043, 4969, 0.17733584, 0, , , , , 13, 9990, 1, 770.1538461538462, 2, 3, 2, 3334.0, 1, 1, 1.0, 1.0, 0.037, 0.08, 0.022, 0.07
