Model,#States,OVI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,10012,2.743,2.51
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,10012,3.448,3.323
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,10012,3.681,2.06
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,10012,3.452,3.091
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,10012,6.384,2.936
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,10012,5.769,2.813
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,10012,3.908,2.734
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,10012,5.604,2.294
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,10012,3.789,2.69
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,10012,5.718,1.855
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,10012,5.218,2.762
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,10012,4.322,1.643
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,10012,4.009,3.159
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,10012,5.098,2.358
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,10012,3.546,2.749
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,10012,4.487,1.623
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,10012,5.429,2.312
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,10012,5.41,2.21
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,10012,2.174,1.855
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,10012,4.556,0.846
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,10012,6.333,4.4
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,10012,6.764,3.842
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,10012,3.485,3.456
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,10012,4.657,4.577
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,10012,3.249,1.426
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,10012,3.703,1.92
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,10012,3.815,2.773
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,10012,3.018,2.105
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,10012,5.805,2.684
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,10012,2.765,2.152
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,10012,2.354,4.331
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,10012,2.861,2.807
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,10012,3.35,2.498
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,10012,5.304,1.856
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,10012,2.908,2.537
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,10012,3.363,1.29
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,10012,6.529,2.891
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,10012,5.899,2.137
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,10012,2.857,2.728
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,10012,2.677,2.648
