Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
ovi_100, 303, 403, 101, 101, 101, 2, 2, 0.001, 200, 0, , , , , 101, 1, 1, 1.0, 1, 101, 51.0, 51.0
ovi_1000, 3003, 4003, 1001, 1001, 1001, 2, 2, 0.001, 2000, 0, , , , , 1001, 1, 1, 1.0, 1, 1001, 501.0, 501.0
ovi_10000, 30003, 40003, 10001, 10001, 10001, 2, 2, 0.001, 20000, 0, , , , , 10001, 1, 1, 1.0, , , , 
ovi_500, 1503, 2003, 501, 501, 501, 2, 2, 0.001, 1000, 0, , , , , 501, 1, 1, 1.0, 1, 501, 251.0, 251.0
ovi_5000, 15003, 20003, 5001, 5001, 5001, 2, 2, 0.001, 10000, 0, , , , , 5001, 1, 1, 1.0, , , , 
ovi_50000, 150003, 200003, 50001, 50001, 50001, 2, 2, 0.001, 100000, 0, , , , , 50001, 1, 1, 1.0, , , , 
ovi_900, 2703, 3603, 901, 901, 901, 2, 2, 0.001, 1800, 0, , , , , 901, 1, 1, 1.0, 1, 901, 451.0, 451.0
ovi_9000, 27003, 36003, 9001, 9001, 9001, 2, 2, 0.001, 18000, 0, , , , , 9001, 1, 1, 1.0, , , , 
ovi_90000, 270003, 360003, 90001, 90001, 90001, 2, 2, 0.001, 180000, , , , , , , , , , , , , 
