Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_20000_1,20000,92,253,108
RND_20000_10,20000,746,314,791
RND_20000_2,20000,185,508,250
RND_20000_3,20000,133,228,143
RND_20000_4,20000,235,1087,294
RND_20000_5,20000,269,1077,292
RND_20000_6,20000,73,957,90
RND_20000_7,20000,370,1363,
RND_20000_8,20000,78,141,90
RND_20000_9,20000,365,1671,420
