Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_20000_1,20000,0.901,1.249,3.89
RND_20000_10,20000,3.682,1.825,9.559
RND_20000_2,20000,2.09,2.38,6.575
RND_20000_3,20000,1.892,1.82,4.157
RND_20000_4,20000,2.632,2.678,4.977
RND_20000_5,20000,1.971,3.245,5.918
RND_20000_6,20000,0.884,2.424,1.775
RND_20000_7,20000,2.647,3.727,
RND_20000_8,20000,1.69,2.238,2.724
RND_20000_9,20000,2.95,4.293,4.692
