Model,#States,BVI
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_61,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_62,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_63,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_64,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_65,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_66,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_67,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_68,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_69,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_7,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_70,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_71,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_72,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_73,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_74,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_75,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_76,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_77,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_78,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_79,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_8,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_80,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_81,9636,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_82,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_83,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_84,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_85,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_86,9149,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_87,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_88,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_89,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_9,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_90,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_91,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_92,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_93,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_94,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_95,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_96,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_97,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_98,10000,0.0
RANDOM_Size_10000_Type-scc_MinTransProb_0.01_Model_99,10000,0.0
