Model,#States,BVI,G_OVI,LP_SI,OVI,T_LP_SI,T_OVI,T_SI_SI,WP_P3
AV18_18_2,959612,40,386,,510,,7007,,40
AV20_20_2,1436404,40,400,,,,,,40
dice200,2188795,461,3825,,13480,,907894,,141
dice250,3410995,561,,,,,1416119,,141
dice300,4903195,661,,,,,2036844,,141
hallway18_18_2,4199040,1,3,,3,,419904,,1
hallway20_20_2,6400000,1,3,,3,,640000,,1
hallway22_22_2,9370240,1,3,,3,,937024,,1
