Model,#States,BVI,G_OVI,LP_SI,OVI,T_LP_SI,T_OVI,T_SI_SI,WP_P3
AV18_18_2,959612,2105.395,2055.842,,2084.647,,2047.077,,2062.977
AV20_20_2,1436404,1885.782,1734.661,,,,,,1695.732
dice200,2188795,742.011,1242.221,644.952,2747.262,646.826,646.361,630.618,726.299
dice250,3410995,1175.661,,927.425,,866.082,780.979,866.193,976.394
dice300,4903195,1964.559,,1278.553,,1564.63,1270.145,1271.439,1643.365
hallway18_18_2,4199040,8.046,8.486,10.136,6.707,25.83,25.632,10.611,7.81
hallway20_20_2,6400000,8.668,10.38,34.411,31.545,14.565,43.73,40.63,8.885
hallway22_22_2,9370240,32.02,33.092,19.132,31.822,51.642,60.072,32.624,26.396
