Model,#States,BVI,OVI,WP_P3
ovi_100,303,0.449,0.019,0.015
ovi_1000,3003,22.16,0.2,0.033
ovi_300,903,2.19,0.041,0.021
ovi_3000,9003,230.086,1.024,0.067
ovi_500,1503,5.497,0.08,0.029
ovi_5000,15003,612.121,2.319,0.105
