Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
ovi_100, 303, 403, 101, 0, 202, 2, 2, 0.01, 200, 1.330033, 1.990099, 1.4962779, 202, 101, 0.0, 101, 1, 1, 1.0, 1.0, 303, 1, 1, 1.0, 102, 0, 0, 0.0, 1, 101, 51.0, 51.0, 0.0, 0.0, 0.032, 0.003
ovi_1000, 3003, 4003, 1001, 0, 2002, 2, 2, 0.01, 2000, 1.3330003, 1.999001, 1.4996253, 2002, 1001, 0.0, 1001, 1, 1, 1.0, 1.0, 3003, 1, 1, 1.0, 1002, 0, 0, 0.0, 1, 1001, 501.0, 501.0, 0.0, 0.0, 0.37, 0.006
ovi_300, 903, 1203, 301, 0, 602, 2, 2, 0.01, 600, 1.3322259, 1.9966778, 1.4987531, 602, 301, 0.0, 301, 1, 1, 1.0, 1.0, 903, 1, 1, 1.0, 302, 0, 0, 0.0, 1, 301, 151.0, 151.0, 0.0, 0.0, 0.07, 0.003
ovi_3000, 9003, 12003, 3001, 0, 6002, 2, 2, 0.01, 6000, 1.3332223, 1.9996668, 1.4998751, 6002, 3001, 0.0, 3001, 1, 1, 1.0, 1.0, 9003, 1, 1, 1.0, 3002, 0, 0, 0.0, 1, 3001, 1501.0, 1501.0, 0.0, 0.0, 1.858, 0.008
ovi_500, 1503, 2003, 501, 0, 1002, 2, 2, 0.01, 1000, 1.332668, 1.998004, 1.4992511, 1002, 501, 0.0, 501, 1, 1, 1.0, 1.0, 1503, 1, 1, 1.0, 502, 0, 0, 0.0, 1, 501, 251.0, 251.0, 0.0, 0.0, 0.13, 0.004
ovi_5000, 15003, 20003, 5001, 0, 10002, 2, 2, 0.01, 10000, 1.3332667, 1.9998001, 1.499925, 10002, 5001, 0.0, 5001, 1, 1, 1.0, 1.0, 15003, 1, 1, 1.0, 5002, 0, 0, 0.0, , , , , 0.0, 0.0, 4.562, 0.034
