Model,#States,BVI,OVI,WP_P3
ovi_100,303,15139,3,5
ovi_1000,3003,115071,3,5
ovi_300,903,38505,3,5
ovi_3000,9003,325695,3,5
ovi_500,1503,60820,3,5
ovi_5000,15003,533008,3,5
