Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_40000_1,40000,1,10,1
RND_40000_10,40000,1,12,1
RND_40000_2,40000,1,12,1
RND_40000_3,40000,1,9,1
RND_40000_4,40000,1,9,1
RND_40000_5,40000,1,10,1
RND_40000_6,40000,1,12,1
RND_40000_7,40000,1,9,1
RND_40000_8,40000,1,10,1
RND_40000_9,40000,1,9,1
