Model,#States,BVI,LP_SI,OVI,T_BVI,T_LP_SI,T_OVI
dice50,96295,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242,0.8332936693090242
dice50_bigMecConf,96295,,0.8332936693090944,0.8332931627721263,,0.8332936689605498,0.0
dice50_hmConf,96295,0.45728466865962786,0.4572846689803336,0.45728422069568075,0.4572846689803337,0.4572846689803337,0.4572846689803337
dice50_manyMecConf,96295,0.8332926988036695,0.8332936693090245,0.8332928899377354,,0.8332936693090249,
simple,3,0.5,0.5,0.5,0.5,0.5,0.5
simple_bigMecConf,3,,0.5000000000000421,0.49999970000997407,,0.4999999997909068,0.0
simple_hmConf,3,0.2743834044391054,0.2743838611899685,0.27438370737271495,0.2743838611899686,0.2743838611899686,0.2743838611899686
simple_manyMecConf,3,0.49999904296712516,0.5000000000000008,0.49999998406627283,0.4999995000005001,0.5000000000000008,
