Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
simple_actionTree_sinkP_1_initP_1_branch_30_numStates_400_numComp_1,3,1.302,1.102,9.741,0.403,0.289,,,1.526,1.6,,10.386,0.643,0.631,0.285
simple_actionTree_sinkP_1_initP_1_branch_30_numStates_400_numComp_20,3,16.691,14.364,,4.647,47.278,,,85.242,98.14,,,11.356,9.452,8.865
simple_actionTree_sinkP_1_initP_1_branch_30_numStates_400_numComp_5,3,4.949,4.5,77.754,0.879,12.444,,,7.919,12.183,,36.2,2.7,3.634,3.773
simple_actionTree_sinkP_1_initP_1_branch_50_numStates_400_numComp_1,3,1.975,1.852,16.6,0.441,0.618,,,2.139,1.373,,16.772,0.753,1.0,1.104
simple_actionTree_sinkP_1_initP_1_branch_50_numStates_400_numComp_20,3,22.491,22.661,,7.309,118.832,,,,,,,14.105,14.097,13.473
simple_actionTree_sinkP_1_initP_1_branch_50_numStates_400_numComp_5,3,7.168,5.311,67.461,1.194,25.185,,,8.475,14.399,,61.58,3.923,6.071,5.704
simple_actionTree_sinkP_1_initP_1_branch_5_numStates_400_numComp_1,3,0.543,0.454,1.258,0.154,0.284,,,0.432,0.393,,1.599,0.424,0.346,0.378
simple_actionTree_sinkP_1_initP_1_branch_5_numStates_400_numComp_20,3,4.984,3.739,75.338,1.887,24.995,,,16.949,13.281,,21.195,4.007,,
simple_actionTree_sinkP_1_initP_1_branch_5_numStates_400_numComp_5,3,1.785,1.253,6.122,0.385,0.912,,,1.76,1.503,,5.916,1.476,0.858,0.889
simple_actionTree_sinkP_1_initP_1_branch_70_numStates_400_numComp_1,3,2.465,2.09,14.568,0.47,0.528,,,2.185,1.443,,23.261,1.211,1.072,1.146
simple_actionTree_sinkP_1_initP_1_branch_70_numStates_400_numComp_20,3,49.412,34.151,,13.973,96.662,,,,,,,24.507,22.253,20.814
simple_actionTree_sinkP_1_initP_1_branch_70_numStates_400_numComp_5,3,13.023,10.957,,1.954,30.938,,,22.007,21.296,,93.212,5.277,6.822,7.807
