Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_18,10002,3.752,,,,5.355,3.643,,,2.015,2.202,,6.931,4.238,14.6,12.074,,,13.387,11.012,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_19,10002,3.465,,,,3.028,3.94,,,1.526,1.555,,3.433,3.68,16.219,11.038,,,12.437,11.691,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_2,10002,3.229,,,,4.668,3.683,,,2.175,2.08,,5.739,5.16,15.911,13.702,,,14.675,11.167,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_20,10002,3.22,,,,2.977,1.829,,,1.733,1.836,,2.993,2.192,17.334,12.127,,,13.322,11.408,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_3,10002,3.997,,,,2.788,2.06,,,1.66,1.829,,2.746,2.211,15.512,11.529,,,12.946,10.906,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_4,10002,2.68,,,,3.131,3.934,,,1.484,1.739,,3.321,4.159,15.914,11.471,,,10.934,11.574,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_5,10002,3.549,,,,3.011,3.928,,,1.434,1.59,,3.199,4.157,14.998,12.539,3.508,3.19,10.692,11.039,3.228,3.289
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_6,10002,2.58,,,,2.165,1.817,,,1.768,1.486,,2.399,1.615,14.308,12.547,,,10.467,10.666,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_7,10002,3.716,,,,4.397,4.035,,,2.209,2.089,,5.424,5.572,16.285,14.084,,,11.342,11.385,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_8,10002,2.812,,,,4.894,3.916,,,2.32,2.087,,6.116,3.997,15.66,12.38,,,10.672,12.413,,
RANDOM_Size_10002_MinAct_90_Type-tree_MinTransProb_0.1_Model_9,10002,3.317,,,,2.42,1.867,,,1.613,1.685,,2.564,1.835,15.046,12.18,,,11.143,11.32,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_1,10002,2.776,5.705,12.086,7.132,164.657,35.601,17.958,,,,,284.329,54.707,13.86,9.448,,,8.586,8.256,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_10,10002,2.785,4.186,3.228,2.367,5.271,4.216,6.624,,,54.557,,6.481,3.838,10.834,8.317,,,8.008,7.703,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_11,10002,2.775,4.704,4.193,2.906,5.392,3.684,2.622,,,,,5.116,3.922,9.425,8.193,,,6.908,8.19,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_12,10002,2.715,4.321,4.199,2.807,6.501,4.81,7.793,,,,,7.584,3.566,11.791,9.436,,,8.505,9.426,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_13,10002,,4.699,3.319,2.189,6.648,5.766,11.557,,,,,5.901,4.267,11.857,10.595,,,7.956,9.709,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_14,10002,,4.318,3.984,2.721,6.017,4.516,3.694,,,374.821,35.869,5.552,4.634,9.201,7.322,,,6.572,6.501,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_15,10002,,3.58,4.041,1.888,4.783,3.973,2.862,,,356.54,260.099,5.004,4.043,10.446,8.078,,,6.816,6.223,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_16,10002,2.935,5.067,4.247,3.108,5.154,5.456,,,,404.003,132.956,6.252,3.767,10.369,8.768,,,6.84,6.669,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_17,10002,3.047,4.376,3.328,1.823,4.798,5.139,4.679,,,334.69,24.135,5.484,3.805,10.277,7.225,,,7.139,6.353,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_18,10002,2.959,4.328,4.609,2.631,6.169,4.902,3.305,,,82.82,,6.355,4.457,10.141,8.109,,,7.154,6.834,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_19,10002,2.988,5.674,4.438,2.458,5.293,4.441,,,,790.976,,6.447,3.954,10.669,10.533,,,8.099,7.349,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_2,10002,2.993,4.312,5.331,2.835,7.427,5.069,10.616,,,,467.566,7.787,4.517,12.347,9.817,,,7.714,7.696,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_20,10002,3.673,4.427,3.81,1.992,5.067,4.337,6.21,,,,463.415,6.489,4.166,9.727,8.068,,,7.488,6.702,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_3,10002,3.046,6.188,3.149,2.791,5.504,4.12,,,,,,6.442,4.634,10.411,8.428,,,6.855,6.776,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_4,10002,3.463,5.363,5.018,2.773,4.615,3.968,,,,,114.499,5.042,4.802,10.618,9.236,,,6.954,6.548,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_5,10002,3.593,5.948,4.217,2.249,5.794,3.892,,,,150.301,,9.359,5.657,10.557,8.898,,,8.527,7.281,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_6,10002,3.269,6.061,,2.854,5.834,4.082,6.901,,,46.138,,7.527,4.72,11.734,8.109,,,6.982,7.336,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_7,10002,2.917,3.523,,2.04,4.868,3.93,2.136,,,219.463,,5.745,3.697,9.125,7.615,,,6.605,6.325,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_8,10002,2.804,,3.628,1.867,7.275,4.468,3.985,,,686.63,115.923,5.286,3.636,9.71,7.537,,,7.023,6.269,,
RANDOM_Size_10002_Type-tree_MinTransProb_0.1_Model_9,10002,2.94,,,3.057,5.891,4.339,3.258,,,54.598,,6.5,4.366,10.563,7.225,,,6.989,6.749,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_1,1002,0.271,0.419,0.241,0.242,0.341,0.177,0.355,0.618,0.166,0.146,0.453,0.257,0.204,1.76,1.191,,,1.156,1.063,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_10,1002,0.263,0.55,0.249,0.221,0.318,0.208,0.333,0.378,0.262,0.207,0.454,0.338,0.194,1.71,1.178,,,1.182,0.958,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_11,1002,0.418,0.46,0.149,0.221,0.293,0.232,0.391,0.406,0.218,0.179,0.407,0.295,0.18,2.38,1.217,,,1.219,0.982,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_12,1002,0.639,0.439,0.56,0.471,0.464,0.721,0.249,0.41,0.26,0.294,0.354,0.528,1.026,1.83,1.676,,,1.144,1.056,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_13,1002,0.473,0.406,0.236,0.392,0.241,0.205,0.34,,0.243,0.201,,0.24,0.193,1.546,1.187,,,1.086,0.946,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_14,1002,0.565,0.449,0.272,0.486,0.335,0.201,0.361,,0.339,0.236,,0.427,0.256,1.788,1.208,,,1.082,1.026,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_15,1002,0.477,0.422,0.304,0.22,0.25,0.166,0.292,0.327,0.194,0.293,0.412,0.338,0.252,2.001,1.646,,,1.227,1.025,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_16,1002,0.669,0.456,0.387,0.28,0.458,0.782,0.284,,0.221,0.267,,0.564,0.853,1.841,1.299,,,1.084,1.022,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_17,1002,0.635,0.324,0.366,0.26,0.382,0.205,0.285,0.412,0.268,0.164,0.48,0.192,0.252,1.734,1.351,,,1.242,1.156,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_18,1002,0.587,0.406,0.216,0.273,0.337,0.191,0.356,,0.218,0.22,,0.354,0.206,1.813,1.394,,,1.162,0.976,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_19,1002,0.642,0.438,0.21,0.295,0.282,0.295,0.242,,0.263,0.23,,0.266,0.19,1.899,1.368,,,1.06,0.971,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_2,1002,0.53,0.462,0.481,0.269,0.623,0.75,0.306,,0.208,0.245,,0.709,0.85,1.687,1.483,,,1.18,1.055,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_20,1002,0.531,0.477,0.43,0.275,0.421,0.667,0.292,,0.285,0.192,,0.504,0.754,1.614,1.213,,,1.175,0.954,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_3,1002,0.513,0.557,0.184,0.259,0.286,0.234,0.355,0.339,0.209,0.23,0.441,0.312,0.222,1.88,1.613,,,1.378,0.968,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_4,1002,0.439,0.487,0.34,0.152,0.37,0.16,0.263,0.43,0.257,0.204,0.409,0.24,0.262,1.79,1.55,,,1.254,0.931,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_5,1002,0.494,0.543,0.306,0.351,0.363,0.191,0.336,,0.246,0.169,,0.335,0.239,1.764,1.304,,,1.07,1.028,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_6,1002,0.472,0.313,0.46,0.194,0.454,0.644,0.294,0.342,0.185,0.2,0.424,0.467,0.962,1.667,1.378,0.3,0.303,1.089,1.014,0.306,0.25
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_7,1002,0.63,0.38,0.499,0.269,0.582,0.621,0.305,0.364,0.207,0.175,0.384,0.525,0.703,1.544,1.289,,,1.523,1.078,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_8,1002,0.591,0.548,0.374,0.373,0.383,0.194,0.317,0.406,0.239,0.23,0.396,0.316,0.231,1.609,1.561,,,1.357,1.043,,
RANDOM_Size_1002_MinAct_100_Type-tree_MinTransProb_0.1_Model_9,1002,0.572,0.62,0.294,0.343,0.379,0.224,0.282,,0.261,0.275,,0.24,0.25,1.731,1.224,,,1.244,1.138,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_1,1002,0.598,0.436,0.52,0.32,1.524,0.805,0.417,,0.287,0.235,,1.379,1.077,2.167,1.363,,,1.12,0.934,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_10,1002,0.51,0.47,0.627,0.251,0.374,0.694,0.336,,0.255,0.232,,0.488,0.617,1.57,1.503,,,,,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_11,1002,0.555,0.627,0.334,0.246,0.368,0.24,0.274,,0.237,0.224,,0.321,0.294,1.645,1.136,,,1.088,0.969,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_12,1002,0.504,0.503,0.562,0.357,0.497,0.839,0.35,,0.312,0.288,,0.497,0.559,1.597,1.541,,,1.144,1.044,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_13,1002,0.65,0.589,0.225,0.252,0.353,0.157,0.332,,0.289,0.246,,0.39,0.166,1.541,1.369,,,1.07,0.883,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_14,1002,0.494,0.396,0.581,0.272,0.735,0.838,0.33,,0.281,0.279,,0.619,0.894,1.753,1.257,,,1.05,1.001,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_15,1002,0.568,0.442,0.573,0.311,1.684,1.123,0.331,,0.351,0.259,,1.727,0.828,1.579,1.491,,,,,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_16,1002,0.639,0.433,0.359,0.387,0.262,0.249,0.477,,0.253,0.2,,0.369,0.31,1.591,1.416,,,1.177,1.227,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_17,1002,,0.631,0.548,0.385,0.483,0.549,0.337,,0.277,0.265,,0.49,0.755,1.932,1.313,,,1.4,1.064,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_18,1002,0.662,0.534,0.515,0.34,0.492,0.718,0.394,,0.295,0.218,,0.453,0.75,2.066,1.28,,,1.168,0.979,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_19,1002,0.655,0.549,0.397,0.373,0.337,0.307,0.462,,0.297,0.302,,0.343,0.274,1.581,1.448,,,1.18,1.138,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_2,1002,0.627,0.487,0.719,0.305,0.54,0.966,0.238,,0.275,0.248,,0.887,0.935,1.804,1.342,,,1.047,0.899,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_20,1002,0.519,0.407,0.356,0.343,0.391,0.282,0.458,,0.291,0.312,,0.281,0.24,1.559,1.205,,,1.099,1.021,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_3,1002,0.628,0.418,0.42,0.254,0.319,0.237,0.347,,0.225,0.235,,0.358,0.293,1.901,1.212,,,1.096,0.992,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_4,1002,0.608,0.396,0.617,0.33,0.604,0.95,0.379,,0.304,0.262,,0.871,0.907,1.545,1.184,,,1.033,0.977,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_5,1002,0.722,0.362,0.64,0.294,0.726,0.883,0.303,,0.296,0.286,,0.647,0.72,1.652,1.338,,,1.023,0.995,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_6,1002,0.68,0.474,0.449,0.292,0.812,0.889,0.47,,0.284,0.321,,0.755,0.949,1.498,1.244,,,1.118,1.031,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_7,1002,0.696,0.457,0.482,0.326,0.645,0.774,0.293,,0.257,0.382,,0.738,1.209,1.77,1.316,,,1.174,1.102,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_8,1002,,0.727,0.441,0.377,1.094,0.851,0.451,,0.209,0.196,,1.406,0.882,1.691,1.198,,,1.48,0.934,,
RANDOM_Size_1002_MinAct_10_Type-tree_MinTransProb_0.1_Model_9,1002,0.814,0.56,0.646,0.259,0.789,0.828,0.417,,0.334,0.346,,0.89,0.992,1.762,1.674,,,1.286,1.015,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_1,1002,0.581,0.429,0.604,0.239,0.496,0.618,0.491,,0.296,0.287,,0.465,0.654,1.817,1.427,,,1.411,1.092,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_10,1002,0.674,0.427,0.453,0.213,0.568,0.799,0.374,,0.24,0.283,,0.448,0.734,1.706,1.397,,,1.414,0.992,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_11,1002,0.618,0.42,0.271,0.207,0.242,0.217,0.434,,0.218,0.274,,0.29,0.261,1.417,1.182,,,1.172,1.012,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_12,1002,0.721,0.54,0.289,0.226,0.317,0.244,0.408,,0.249,0.236,,0.334,0.356,1.887,1.625,,,1.464,1.05,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_13,1002,0.474,0.516,0.458,0.313,0.526,0.717,0.287,,0.222,0.211,,0.93,0.698,1.958,1.585,,,1.101,0.97,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_14,1002,,0.51,0.226,0.263,0.279,0.276,0.466,,0.186,0.222,,0.277,0.206,1.694,1.518,,,1.099,0.984,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_15,1002,0.601,0.643,0.644,0.257,0.477,0.66,0.396,,0.257,0.276,,0.822,0.691,1.885,1.599,,,1.201,1.015,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_16,1002,0.691,0.532,0.351,0.278,0.297,0.26,0.308,0.34,0.19,0.184,0.327,0.298,0.2,1.514,1.254,,,1.106,1.061,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_17,1002,0.522,0.495,0.728,0.247,0.525,0.637,0.393,,0.242,0.232,,0.636,0.616,1.679,1.435,,,1.186,1.028,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_18,1002,0.661,0.473,0.291,0.32,0.427,0.222,0.331,0.456,0.245,0.233,0.319,0.309,0.23,1.949,1.653,,,1.106,1.06,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_19,1002,0.615,0.534,0.326,0.264,0.345,0.182,0.26,,0.286,0.214,,0.38,0.245,1.735,1.362,,,1.109,0.995,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_2,1002,0.623,0.365,0.552,0.307,1.127,0.667,0.323,,0.233,0.294,,1.132,0.839,1.97,1.494,,,1.158,1.076,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_20,1002,0.647,0.397,0.194,0.287,0.267,0.231,0.293,0.434,0.26,0.333,0.283,0.332,0.133,1.764,1.509,,,1.188,1.001,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_3,1002,0.544,0.516,0.242,0.361,0.327,0.253,0.308,,0.246,0.374,,0.336,0.297,1.822,1.554,,,1.083,1.06,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_4,1002,0.532,0.426,0.362,0.315,0.541,0.761,0.338,0.365,0.191,0.139,0.315,0.61,0.688,1.68,1.542,,,1.074,0.948,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_5,1002,0.547,0.458,0.219,0.318,0.337,0.268,0.263,,0.232,0.253,,0.391,0.201,2.019,1.451,,,1.182,1.037,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_6,1002,0.54,0.437,0.599,0.421,0.452,0.689,0.318,,0.215,0.27,,0.703,0.776,1.669,1.609,,,1.086,1.033,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_7,1002,0.638,0.462,0.472,0.251,0.581,0.752,0.37,,0.296,0.216,,0.789,0.715,1.923,1.406,,,1.065,0.992,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_8,1002,0.545,0.398,0.553,0.331,0.631,0.924,0.387,,0.266,0.256,,0.9,0.772,2.176,1.179,,,1.186,1.048,,
RANDOM_Size_1002_MinAct_30_Type-tree_MinTransProb_0.1_Model_9,1002,0.574,0.36,0.273,0.281,0.456,0.372,0.434,,0.282,0.233,,0.293,0.193,1.759,1.284,,,1.243,1.068,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_1,1002,0.474,0.495,0.619,0.392,1.995,1.183,0.255,,0.248,0.227,,1.722,0.859,1.917,1.275,,,0.972,0.958,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_10,1002,0.596,0.373,0.238,0.263,0.325,0.408,0.29,,0.212,0.256,,0.284,0.233,1.992,1.238,,,1.117,0.979,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_11,1002,0.725,0.498,0.258,0.309,0.399,0.291,0.278,0.395,0.161,0.171,0.304,0.35,0.249,1.614,1.317,,,1.472,1.127,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_12,1002,0.688,0.421,0.216,0.27,0.308,0.248,0.324,,0.244,0.232,,0.314,0.22,1.887,1.32,,,1.214,1.015,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_13,1002,0.662,0.441,0.437,0.267,1.131,0.908,0.413,,0.239,0.302,,0.969,0.806,1.707,1.621,,,1.252,0.987,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_14,1002,0.704,0.443,0.255,0.263,0.254,0.25,0.281,0.371,0.156,0.163,0.284,0.303,0.203,1.595,1.141,,,1.491,1.014,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_15,1002,0.607,0.592,0.401,0.359,0.58,0.794,0.304,,0.25,0.3,,0.795,0.688,1.642,1.342,,,1.337,1.005,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_16,1002,,0.56,0.471,0.31,1.018,0.612,0.297,,0.229,0.208,,0.702,0.96,1.583,1.214,,,1.184,1.03,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_17,1002,0.595,0.336,0.165,0.21,0.314,0.245,0.312,0.381,0.17,0.157,0.282,0.361,0.248,1.427,1.137,,,1.161,1.039,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_18,1002,0.75,0.428,0.519,0.277,0.669,0.824,0.274,,0.28,0.232,,0.992,0.779,1.438,1.145,,,1.09,0.929,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_19,1002,,0.426,0.491,0.316,0.373,0.7,0.225,,0.218,0.277,,0.397,0.907,1.741,1.698,,,1.182,1.045,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_2,1002,0.614,0.441,0.294,0.348,0.333,0.754,0.358,0.364,0.252,0.287,0.274,0.572,0.678,1.558,1.591,,,1.121,0.973,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_20,1002,0.84,0.601,0.289,0.221,0.868,0.857,0.36,,0.214,0.229,,1.09,0.83,1.604,1.616,,,1.383,1.092,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_3,1002,0.637,0.389,0.198,0.233,0.387,0.185,0.414,,0.178,0.225,,0.349,0.272,1.883,1.146,,,1.211,1.114,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_4,1002,0.639,0.497,0.172,0.27,0.331,0.198,0.421,,0.233,0.244,,0.494,0.212,1.641,1.326,,,1.161,1.022,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_5,1002,0.637,0.462,0.235,0.302,0.292,0.305,0.423,,0.263,0.249,,0.371,0.227,1.56,1.28,,,1.11,1.041,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_6,1002,0.628,0.383,0.238,0.482,0.406,0.207,0.377,0.355,0.208,0.204,0.287,0.31,0.226,1.644,1.37,,,1.261,1.011,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_7,1002,0.488,0.457,0.269,0.341,0.448,0.256,0.394,,0.248,0.208,,0.353,0.211,1.684,1.641,,,1.258,1.071,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_8,1002,0.5,0.35,0.221,0.304,0.401,0.285,0.349,,0.217,0.255,,0.412,0.346,1.63,1.278,,,1.071,0.997,,
RANDOM_Size_1002_MinAct_50_Type-tree_MinTransProb_0.1_Model_9,1002,0.555,0.29,0.245,0.299,0.367,0.334,0.314,,0.213,0.213,,0.529,0.22,1.566,1.219,,,1.154,1.082,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,1002,0.585,0.736,0.819,0.163,1.505,1.421,0.442,,0.302,0.277,,1.533,0.988,1.692,2.449,,,1.861,2.173,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,1002,0.613,0.671,0.57,0.198,1.044,0.971,0.457,,0.279,0.33,,0.957,0.954,2.075,2.558,,,2.161,2.068,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,1002,,0.34,0.203,0.212,0.339,0.228,0.695,,0.303,0.336,,0.352,0.261,1.874,2.907,,,2.144,1.721,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,1002,0.723,0.351,0.421,0.232,0.534,0.623,0.326,,0.295,0.244,,0.544,0.838,2.02,1.966,,,2.062,1.924,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,1002,0.591,0.342,0.464,0.189,0.765,0.653,0.359,,0.309,0.294,,0.799,0.761,1.955,2.057,,,2.023,1.659,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,1002,,0.478,0.456,0.207,0.763,0.749,0.325,,0.254,0.307,,0.985,0.887,1.842,2.091,,,1.988,1.664,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,1002,,0.521,0.52,0.181,0.856,0.755,0.437,,0.267,0.263,,0.931,0.792,1.842,1.852,,,1.806,1.948,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,1002,0.847,0.545,0.477,0.208,0.856,0.818,0.472,,0.347,0.299,,0.911,0.976,1.819,2.058,,,1.882,1.695,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,1002,0.632,0.363,0.521,0.192,0.612,0.71,0.408,,0.3,0.259,,0.738,0.954,1.953,1.962,,,1.93,1.94,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,1002,0.895,0.562,0.51,0.271,0.903,0.718,0.248,,0.253,0.296,,0.915,0.764,1.644,1.735,,,1.734,2.048,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,1002,0.94,0.397,0.348,0.194,0.587,0.699,0.479,,0.373,0.257,,0.689,0.902,2.15,1.607,,,1.862,1.62,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,1002,0.697,0.358,0.402,0.246,0.565,0.766,0.345,,0.295,0.277,,0.779,0.788,2.146,1.709,,,1.954,2.162,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,1002,0.586,0.425,0.407,0.304,0.787,0.701,0.977,,0.45,0.29,,0.667,0.836,1.71,1.827,,,1.598,1.716,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_3,1002,0.616,0.456,0.424,0.238,0.485,0.62,0.324,,0.321,0.237,,0.548,1.03,1.923,1.636,,,1.762,1.98,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_4,1002,0.639,0.453,0.211,0.159,0.286,0.309,0.386,,0.245,0.244,,0.317,0.288,2.117,1.78,,,1.89,2.207,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_5,1002,0.454,0.273,0.288,0.298,0.596,0.656,0.325,,0.256,0.258,,0.796,1.03,2.382,1.848,,,2.017,1.91,,
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_6,1002,0.499,0.392,0.23,0.257,0.4,0.254,0.38,,0.336,0.211,,0.368,0.337,1.775,1.603,,,1.851,2.302,,
