Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_19,10002,5.099,,,,4.431,4.045,,,1.887,1.649,,5.029,3.885,18.628,15.955,,,14.613,14.202,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_2,10002,6.66,,,,4.692,4.831,,,2.059,2.228,,4.481,4.344,17.134,14.91,,,,,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_20,10002,,,,,3.212,2.553,,,1.84,1.716,,2.596,1.875,17.738,16.25,,,15.14,15.769,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_3,10002,5.385,,,,2.675,2.447,,,1.757,2.003,,3.596,1.92,14.918,17.808,,,14.962,16.347,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_4,10002,5.571,,,,4.518,4.233,,,1.706,1.626,,5.0,4.488,15.53,19.194,,,15.861,15.209,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_5,10002,4.93,,,,5.219,4.565,,,1.553,1.661,,4.75,4.536,16.914,18.595,,,,,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_6,10002,5.249,,,,4.202,4.846,,,1.878,1.953,,5.93,4.353,17.034,19.102,,,14.862,14.282,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_7,10002,4.888,,,,4.025,4.816,,,1.712,1.741,,3.624,3.785,17.676,15.563,,,14.321,14.886,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_8,10002,4.803,,,,2.304,1.869,,,1.626,1.775,,2.926,2.105,17.886,16.074,,,,,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_9,10002,6.017,,,,3.147,2.316,,,1.932,1.711,,3.312,1.97,16.877,16.192,,,15.605,15.681,,
