Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,GSVI_1,GSVI_100,OVI_100,QP_G,QP_G_T,QP_G_T_W,QP_G_W,SVI_1,SVI_100,TBVI_100,TGBVI_100,TGSVI_1,TGSVI_100,TOVI_100,TOVI_100_opt,TSVI_1,TSVI_100
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_13,10002,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_14,10002,0.0,,,,0.014136000000000003,0.014136000000000003,,,1.0,1.0,,0.014136000000000003,0.014136000000000003,0.014136000000000003,0.014136000000000003,,,0.014136000000000003,0.014136000000000003,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_15,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_16,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_17,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_18,10002,0.0,,,,0.009999999999999998,0.009999999999999998,,,1.0,1.0,,0.009999999999999998,0.009999999999999998,0.009999999999999998,0.009999999999999998,,,0.009999999999999998,0.009999999999999998,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_19,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_2,10002,0.0,,,,0.011313,0.011313,,,1.0,1.0,,0.011313,0.011313,0.011313000000000002,0.011313000000000002,,,,,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_20,10002,,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_3,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_4,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_5,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,0.901,0.901,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,,,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_6,10002,0.0,,,,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,0.010000000000000002,0.010000000000000002,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_7,10002,0.0,,,,0.1673,0.1673,,,1.0,1.0,,0.1673,0.1673,0.1673,0.1673,,,0.1673,0.1673,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_8,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,
RANDOM_Size_10002_MinAct_10_Type-tree_MinTransProb_0.1_Model_9,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_1,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_10,10002,0.0,,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,
RANDOM_Size_10002_MinAct_30_Type-tree_MinTransProb_0.1_Model_11,10002,0.0,,,,0.009999803543722945,0.009999803543722945,,,0.502,0.502,,0.009999812594982083,0.009999812594982083,0.010000000000000004,0.010000000000000004,,,0.010000000000000004,0.010000000000000004,,
