Model,#States,BVI
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_76,10002,0.833
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_77,10002,0.896
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_78,10002,0.837
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_79,10002,0.723
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8,10002,0.747
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_80,10002,0.876
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_81,10002,103.197
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_82,10002,68.377
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_83,10002,0.869
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_84,10002,0.695
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_85,10002,40.631
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_86,10002,0.78
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_87,10002,0.933
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_88,10002,177.58
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_89,10002,72.771
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9,10002,29.793
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_90,10002,0.871
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_91,10002,0.732
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_92,10002,0.724
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_93,10002,0.718
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_94,10002,0.815
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_95,10002,0.763
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_96,10002,305.235
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_97,10002,30.971
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_98,10002,0.717
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_99,10002,0.543
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_1,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_10,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_100,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_11,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_12,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_13,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_14,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_15,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_16,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_17,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_18,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_19,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_2,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_20,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_21,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_22,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_23,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_24,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_25,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_26,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_27,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_28,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_29,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_3,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_30,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_31,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_32,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_33,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_34,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_35,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_36,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_37,,
