Model,#States,BVI
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_39,10002,1011
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_4,10002,2042
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_40,10002,5364
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_41,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_42,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_43,10002,5652
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_44,10002,211
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_45,10002,6930
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_46,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_47,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_48,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_49,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_5,10002,5833
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_50,10002,3522
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_51,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_52,10002,6988
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_53,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_54,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_55,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_56,10002,11116
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_57,10002,2173
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_58,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_59,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6,10002,1044
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_60,10002,2013
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_61,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_62,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_63,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_64,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_65,10002,3369
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_66,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_67,10002,
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_68,10002,7466
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_69,10002,19018
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_7,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_70,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_71,10002,2321
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_72,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_73,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_74,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_75,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_76,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_77,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_78,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_79,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_80,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_81,10002,4480
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_82,10002,3263
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_83,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_84,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_85,10002,2224
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_86,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_87,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_88,10002,9390
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_89,10002,4577
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9,10002,1547
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_90,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_91,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_92,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_93,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_94,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_95,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_96,10002,13735
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_97,10002,1294
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_98,10002,1
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_99,10002,1
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_1,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_10,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_100,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_11,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_12,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_13,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_14,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_15,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_16,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_17,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_18,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_19,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_2,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_20,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_21,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_22,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_23,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_24,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_25,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_26,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_27,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_28,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_29,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_3,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_30,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_31,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_32,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_33,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_34,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_35,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_36,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_37,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_38,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_39,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_4,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_40,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_41,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_42,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_43,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_44,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_45,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_46,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_47,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_48,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_49,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_5,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_50,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_51,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_52,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_53,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_54,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_55,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_56,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_57,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_58,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_59,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_6,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_60,,
