Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_6, 10002, 68638, 1, 3382, 6619, 78, 5, 1.0E-4, 50599, 6.8624277, 15.506598, 2.2596376, 5019, 4983, 0.15596047, 1, 470, 470, 470.0, 470.0, 1155, 8848, 1, 8.65974025974026, 3, 1, 8848, 8848.0, 4, 4, 4.0, 4.0, 0.25, 0.297, 0.133, 0.109
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_60, 10002, 68484, 1, 3446, 6555, 82, 5, 1.0E-4, 50560, 6.8470306, 15.473306, 2.2598562, 4873, 5129, 0.15658034, 1, 172, 172, 172.0, 172.0, 1085, 8918, 1, 9.218433179723503, 3, 1, 8918, 8918.0, 4, 4, 4.0, 4.0, 0.212, 0.268, 0.12, 0.048
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_61, 10002, 68580, 1, 3244, 6757, 92, 5, 1.0E-4, 50561, 6.856629, 15.483503, 2.2581801, 5061, 4941, 0.15579921, 1, 607, 607, 607.0, 607.0, 1080, 8923, 1, 9.261111111111111, 3, 1, 8923, 8923.0, 4, 4, 4.0, 4.0, 0.223, 0.291, 0.182, 0.071
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_62, 10002, 68602, 1, 3353, 6648, 82, 5, 1.0E-4, 50596, 6.858828, 15.505199, 2.2606192, 5020, 4982, 0.15678056, 2, 289, 3, 146.0, 146.0, 1093, 8910, 1, 9.15096065873742, 3, 1, 8910, 8910.0, 2147483637, 0, NaN, 0.0, 0.279, 0.345, 0.151, 0.066
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_63, 10002, 68525, 1, 3292, 6709, 81, 5, 1.0E-4, 50512, 6.85113, 15.473005, 2.2584605, 4963, 5039, 0.15670615, 5, 10, 4, 6.6, 6.0, 1087, 8916, 1, 9.201471941122355, 3, 1, 8916, 8916.0, 2147483637, 0, NaN, 0.0, 0.267, 0.34, 0.146, 0.054
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_64, 10002, 68623, 1, 3259, 6742, 75, 5, 1.0E-4, 50747, 6.8609276, 15.541892, 2.2652755, 5059, 4943, 0.15697008, 1, 613, 613, 613.0, 613.0, 1109, 8894, 1, 9.018935978358883, 3, 1, 8894, 8894.0, 2147483637, 0, NaN, 0.0, 0.262, 0.352, 0.153, 0.064
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_65, 10002, 68389, 1, 3302, 6699, 88, 5, 1.0E-4, 50508, 6.8375325, 15.474305, 2.2631416, 4967, 5035, 0.1559758, 4, 248, 1, 64.5, 4.5, 1138, 8865, 1, 8.789103690685414, 3, 1, 8865, 8865.0, 3, 3, 3.0, 3.0, 0.239, 0.293, 0.227, 0.112
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_66, 10002, 68639, 1, 3173, 6828, 77, 5, 1.0E-4, 50508, 6.8625274, 15.437113, 2.249479, 5034, 4968, 0.1564617, 1, 660, 660, 660.0, 660.0, 1057, 8946, 1, 9.46263008514664, 3, 1, 8946, 8946.0, 2147483637, 0, NaN, 0.0, 0.224, 0.293, 0.149, 0.055
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_67, 10002, 68346, 1, 3231, 6770, 80, 5, 1.0E-4, 50708, 6.8332334, 15.480004, 2.2653997, 4995, 5007, 0.15648675, 1, 367, 367, 367.0, 367.0, 1098, 8905, 1, 9.109289617486338, 3, 1, 8905, 8905.0, 4, 4, 4.0, 4.0, 0.223, 0.298, 0.13, 0.045
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_68, 10002, 68433, 1, 3337, 6664, 85, 5, 1.0E-4, 50593, 6.841932, 15.483203, 2.2629871, 5051, 4951, 0.15530501, 1, 363, 363, 363.0, 363.0, 1079, 8924, 1, 9.269694161260427, 3, 1, 8924, 8924.0, 4, 4, 4.0, 4.0, 0.228, 0.346, 0.211, 0.054
