Model,#States,BVI
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_73,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_74,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_75,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_76,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_77,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_78,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_79,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_8,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_80,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_81,10002,0.570074126335983
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_82,10002,0.6301673714153269
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_83,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_84,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_85,10002,0.8311406150747235
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_86,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_87,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_88,10002,0.5991793187285737
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_89,10002,0.620662948242821
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_9,10002,0.9
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_90,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_91,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_92,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_93,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_94,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_95,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_96,10002,0.6635478090662107
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_97,10002,0.7722099486563571
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_98,10002,0.0
RANDOM_Size_10002_MinAct_10_MinTransProb_0.0001_Model_99,10002,0.0
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_1,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_10,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_100,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_11,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_12,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_13,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_14,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_15,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_16,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_17,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_18,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_19,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_2,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_20,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_21,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_22,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_23,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_24,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_25,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_26,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_27,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_28,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_29,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_3,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_30,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_31,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_32,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_33,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_34,,
RANDOM_Size_10002_MinAct_70_MinTransProb_0.0001_Model_35,,
