Model,#States,BVI,LP,OVI,T_LP
consensus,43136,,,,
csma_1,761962,,,,
csma_2,761962,,,,
csma_3,761962,,,,
firewire,1078695,,,,
firewire_dl,375765,,,,
pacman,882686,,,,
philosophers,8662001936,,,,
pnueli-zuck,9999991946936304,,,,
rabin,27766,,,,
wlan,5007548,,,,
wlan_dl,10131465,,
