Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,OPT_OVI,OVI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_OVI,T_SI_SI,T_SVI,VI,WP
RANDOM_Size_1002_MinAct_3_Model_11,1002,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.0,0.45,0.45,0.45,0.45,0.45,0.45,0.45
RANDOM_Size_1002_MinAct_3_Model_12,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_13,1002,0.8999991416931152,0.8999991416931152,0.8999987661838532,0.8999991416931152,0.899999591692257,0.9,0.8999994385768533,0.8999994385768533,0.9,0.899999999999994,0.8999999999998941,0.0,0.8999999999999941,0.899999463558197,0.899999591692257,0.9,0.9,0.8999978542327881,0.8999991416931152
RANDOM_Size_1002_MinAct_3_Model_14,1000,0.9,0.9,,0.9,0.9,,0.9,0.9,,0.9000000000000017,0.9000000000000017,,0.9000000000000017,0.9,0.9,0.9,,0.9,0.9
RANDOM_Size_1002_MinAct_3_Model_15,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999999992,0.8999999999999992,0.0,0.8999999999999992,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_3_Model_16,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9000000000000001,0.9000000000000001,0.0,0.9000000000000001,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_3_Model_17,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_18,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_19,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_2,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_20,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_3,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_4,1001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_5,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_6,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_7,1000,0.9,0.9,,0.9,0.9,,0.9,0.9,,0.8999999999999999,0.8999999999999999,,0.8999999999999999,0.9,0.9,0.9,,0.9,0.9
RANDOM_Size_1002_MinAct_3_Model_8,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_3_Model_9,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999999999,0.8999999999999999,0.0,0.8999999999999999,0.9,0.9,0.9,0.0,0.9,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_1,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.0,,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_10,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_11,1002,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.8999999999999998,0.8999999999999998,0.0,0.8999999999999998,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9000000000000001,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_12,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_13,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_14,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_15,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_16,1002,0.9000000000000001,0.9000000000000009,0.9,0.9000000000000001,0.9,0.9,0.9,0.9,0.9,0.8999999999999999,0.8999999999999999,0.0,0.8999999999999999,,,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_17,1002,0.872753256,0.872753256,0.872753256,0.872753256,0.872753256,0.872753256,0.872753256,0.872753256,0.872753256,0.8727532560000014,0.8727532560000014,0.0,0.8727532560000014,0.872753256,0.872753256,0.872753256,0.872753256,0.872753256,0.872753256
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_18,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_19,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_2,1002,0.9000000000000006,0.9000000000000006,0.9,0.9000000000000006,0.9,0.9,0.9,0.9,0.890081388,0.8999999999999875,0.8999999999999875,0.0,0.8999999999999846,,,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_20,1002,0.9000000000000002,0.9000000000000004,0.9,0.9000000000000002,0.9000000000000001,0.9,0.9000000000000001,0.9000000000000001,0.9,0.8999999999999956,0.8999999999999956,0.0,0.8999999999999944,,,0.9,0.9,0.9000000000000001,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_3,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_4,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_5,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_6,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_7,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_8,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_9,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_1,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_10,1002,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999999988,0.8999999999999988,0.0,0.8999999999999988,0.9,0.9,0.9,0.9,0.9,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_11,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_12,1002,0.9000000000000001,0.9000000000000001,0.9,0.9000000000000001,0.9000000000000001,0.9,0.9000000000000001,0.9000000000000001,0.9,0.8999999999999999,0.8999999999999987,0.0,0.8999999999999941,0.9000000000000001,0.9000000000000001,0.9,0.9000000000000001,0.9000000000000001,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_13,1002,0.9000000000000002,0.9000000000000002,0.8999991,0.9000000000000002,0.8999999987203565,0.89998553664,0.89999999860032,0.89999999860032,0.9,0.8999999999999916,0.8999999999999916,0.0,0.899999999999993,,0.8999999999879068,0.9,0.9,0.8999999987167734,0.8999991
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_14,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_15,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_16,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_17,1002,0.9000000000000001,0.9000000000000001,0.9,0.9000000000000001,0.9000000000000001,0.9,0.9000000000000001,0.9000000000000001,0.9,0.9000000000000014,0.9000000000000014,0.0,0.8999999999999971,,,0.9,0.9000000000000001,0.9000000000000001,0.9
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_18,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_19,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_2,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_20,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0
