Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_20000_1,20000,1,2,1
RND_20000_10,20000,1,10,1
RND_20000_2,20000,1,15,1
RND_20000_3,20000,1,2,1
RND_20000_4,20000,1,12,1
RND_20000_5,20000,1,9,1
RND_20000_6,20000,1,9,1
RND_20000_7,20000,1,11,1
RND_20000_8,20000,1,11,1
RND_20000_9,20000,1,15,1
