Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_20000_1,20000,0.123,0.104,0.236
RND_20000_10,20000,0.643,0.666,0.695
RND_20000_2,20000,0.733,1.085,1.179
RND_20000_3,20000,0.113,0.131,0.287
RND_20000_4,20000,0.727,0.75,1.14
RND_20000_5,20000,0.699,0.65,0.702
RND_20000_6,20000,0.606,0.752,0.627
RND_20000_7,20000,0.742,0.68,0.896
RND_20000_8,20000,0.948,0.619,0.676
RND_20000_9,20000,0.998,0.71,0.772
