Model,#States,BVI,D_BVI,D_SVI,G_BVI,G_OVI,G_SVI,LP_SI,OPT_OVI,OVI,SI,SI_SI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_LP_SI,T_OVI,T_SI_SI,T_SVI,VI,WP
RANDOM_Size_10002_MinTransProb_0.01_Model_16,10002,1,1,1,1,94,1,T,264,T,T,T,1,T,T,T,T,T,T,E,T,E,136,
RANDOM_Size_10002_MinTransProb_0.01_Model_17,,T,T,1,1,T,1,T,5,T,T,4,T,T,T,T,3,3,,3,,E,4,
RANDOM_Size_10002_MinTransProb_0.01_Model_18,10002,1,T,T,1,3,T,2,T,3,,2,T,1,T,T,1,1,T,1,,E,2,
RANDOM_Size_10002_MinTransProb_0.01_Model_19,10002,1,1,1,1,3,T,2,3,T,,T,T,T,T,1,1,1,T,1,,T,2,
RANDOM_Size_10002_MinTransProb_0.01_Model_2,10002,133,T,171,81,68,35,21,120,120,,T,72,T,T,1088,T,1222,,1178,T,E,90,
RANDOM_Size_10002_MinTransProb_0.01_Model_20,10002,1,T,T,1,T,1,T,647,T,T,T,T,T,T,T,T,T,,E,T,E,302,
RANDOM_Size_10002_MinTransProb_0.01_Model_3,10002,1,1,1,1,7,1,4,7,7,,4,1,3,3,3,3,3,,3,,E,4,
RANDOM_Size_10002_MinTransProb_0.01_Model_4,10002,1,T,1,1,T,1,12,15,T,T,T,1,18,T,18,18,18,,18,,E,13,
RANDOM_Size_10002_MinTransProb_0.01_Model_5,10002,1,1,1,1,308,1,21,556,556,,T,1,T,T,1147,T,1637,,1667,T,E,475,
RANDOM_Size_10002_MinTransProb_0.01_Model_6,10002,1,T,1,1,3,T,T,3,T,T,2,T,T,T,1,1,1,,1,,E,2,
RANDOM_Size_10002_MinTransProb_0.01_Model_7,10002,1,1,1,T,11,T,T,13,13,T,7,T,17,T,17,17,17,T,17,T,E,8,
RANDOM_Size_10002_MinTransProb_0.01_Model_8,10002,31,T,T,T,T,9,T,390,390,,T,T,T,T,1009,T,1174,T,1209,T,E,193,
RANDOM_Size_10002_MinTransProb_0.01_Model_9,10002,T,T,T,T,331,T,T,582,582,T,T,T,T,T,T,T,T,,1550,T,E,225,
RANDOM_Size_10002_Model_1,10002,1,1,1,1,111,1,21,140,140,,21,1,243,237,110,200,243,,238,,E,101,
RANDOM_Size_10002_Model_10,10002,1,1,1,1,19,1,18,25,25,,18,1,T,83,83,83,83,,83,,E,24,
RANDOM_Size_10002_Model_11,10002,1,1,T,1,61,1,21,74,74,,21,1,129,132,75,123,129,,132,,E,61,
RANDOM_Size_10002_Model_12,10002,1,1,T,1,6,1,5,6,6,,5,1,5,5,5,5,5,,5,,E,5,
RANDOM_Size_10002_Model_13,9997,48,302,344,26,57,18,21,97,97,,T,24,T,T,V,T,1225,,1234,T,E,88,
RANDOM_Size_10002_Model_14,9998,1,1,T,1,3,1,T,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_10002_Model_15,10002,1,1,1,1,3,1,T,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_10002_Model_16,10002,1,1,1,1,4,1,3,4,4,,3,1,2,2,2,2,2,,2,,E,3,
RANDOM_Size_10002_Model_17,10002,1,1,1,1,234,1,21,317,317,,T,1,825,775,513,728,825,,775,,E,262,
RANDOM_Size_10002_Model_18,10002,1,1,1,1,46,1,21,89,89,,T,1,T,1348,T,1344,1343,,1348,T,E,84,
RANDOM_Size_10002_Model_19,10002,1,1,1,1,5,1,4,6,6,,4,1,5,5,5,5,5,,5,,E,5,
RANDOM_Size_10002_Model_2,10002,1,1,1,1,8,1,7,10,10,,7,1,21,21,21,21,21,,21,,E,9,
RANDOM_Size_10002_Model_20,10002,1,1,1,1,43,1,21,69,69,,T,1,818,827,789,819,818,,827,,E,57,
RANDOM_Size_10002_Model_3,10002,1,1,1,1,419,1,21,306,306,,T,1,1032,E,803,776,1032,,1014,,E,246,
RANDOM_Size_10002_Model_4,10002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_10002_Model_5,10002,1,1,1,1,4,1,3,4,4,,3,1,3,3,3,3,3,,3,,E,3,
RANDOM_Size_10002_Model_6,10002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_10002_Model_7,10002,1,1,1,1,13,1,12,21,21,,12,1,30,30,30,30,30,,30,,E,20,
RANDOM_Size_10002_Model_8,10002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_10002_Model_9,9989,1,1,1,1,8,1,7,9,9,,7,1,9,9,9,9,9,,9,,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_1,1002,1,1,1,1,85,1,6,85,85,T,6,1,T,97,104,28,T,,97,,E,6,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_10,1002,1056,T,202,1056,9,5,T,10,10,E,7,5,1058,10,4,8,1058,T,10,,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_11,1002,1,1,1,1,16,1,T,16,16,T,7,1,1243,30,26,24,1243,T,30,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_12,1002,1057,T,202,1057,10,4,E,10,10,E,E,4,1060,11,5,9,E,E,E,E,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_13,1002,1,1,1,1,9,1,T,10,10,E,T,1,552,11,4,9,552,T,11,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_14,1002,1,1,1,1,8,1,T,9,9,E,6,1,1066,13,7,11,1066,T,13,T,E,7,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_15,1002,T,T,201,T,12,8,T,13,13,E,T,8,T,20,16,16,T,T,20,T,E,7,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_16,1002,1,1,1,1,11,1,T,13,13,E,T,1,273,14,5,11,273,T,14,T,E,10,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_17,1002,1,1,1,1,14,1,T,14,14,T,8,1,T,19,14,16,T,T,19,,E,9,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_18,1002,1062,T,102,1062,16,4,T,18,18,E,8,4,1072,22,12,15,E,T,22,T,E,10,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_19,1002,1099,T,400,1099,14,7,T,17,17,T,8,7,1107,18,11,14,1107,T,18,T,E,9,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_2,1002,1158,T,202,1158,14,4,T,14,14,E,T,4,1165,14,7,10,1165,T,14,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_20,1002,1,1,1,1,14,1,T,15,15,E,10,1,1065,15,7,12,1065,T,15,,E,11,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_3,1002,528,T,102,528,10,3,T,11,11,E,7,3,534,13,6,10,E,T,E,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_4,1002,1057,T,102,1057,9,3,T,10,10,E,7,3,1060,11,4,9,1060,T,11,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_5,1002,1056,T,201,1056,13,5,T,13,13,E,T,5,1064,17,8,14,E,T,E,T,E,10,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_6,1002,533,T,102,533,16,5,T,18,18,T,T,5,540,19,8,12,E,T,E,T,E,11,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_7,1002,362,T,203,362,17,11,T,19,19,T,11,11,368,19,9,13,E,T,E,,E,13,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_8,1002,1,1,1,1,10,1,T,12,12,T,7,1,1076,13,5,10,1076,T,13,,E,9,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.0001_Model_9,1002,1,1,1,1,35,1,T,37,37,T,8,1,1863,49,40,24,1863,T,49,T,E,9,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_1,1002,26,1100,103,26,21,14,T,23,23,T,13,14,37,23,V,15,E,T,E,,E,15,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_10,1002,1,1,1,1,29,1,T,30,30,T,10,1,T,30,29,14,2943,T,30,T,E,11,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_11,1002,25,1800,101,25,12,3,T,14,14,E,T,3,29,14,V,11,E,T,E,T,E,11,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_12,1002,1,1,1,1,10,1,T,12,12,T,T,1,36,18,11,16,36,T,18,T,E,9,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_13,1002,38,3200,101,38,12,V,T,12,12,T,T,V,49,15,E,13,49,T,15,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_14,1002,1,1,1,1,10,1,T,11,11,E,T,1,14,12,4,10,E,T,E,T,E,9,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_15,1002,1,1,1,1,10,1,T,13,13,E,7,1,50,15,8,12,50,T,15,,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_16,1002,15,1101,201,15,11,4,T,12,12,E,8,4,24,16,V,13,E,T,E,T,E,9,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_17,1002,20,1900,203,20,10,5,T,13,13,E,T,5,26,15,V,13,26,T,15,T,E,10,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_18,1002,15,1100,202,15,11,4,T,14,14,E,8,4,20,14,V,11,E,T,E,,E,11,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_19,1002,57,5201,102,57,12,3,T,13,13,T,7,3,65,20,V,18,65,T,20,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_2,1002,1,1,1,1,14,1,T,13,13,E,8,1,55,16,9,13,55,T,16,T,E,9,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_20,1002,1,1,1,1,12,1,T,13,13,E,T,1,14,13,3,10,E,T,E,T,E,10,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_3,1002,11,1100,103,11,9,3,T,11,11,E,T,4,14,12,V,10,E,T,E,,E,9,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_4,1002,1,1,1,1,9,1,T,10,10,E,7,1,21,13,6,11,21,T,13,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_5,1002,1,1,1,1,15,1,T,268,268,T,6,1,155,284,29,54,155,T,67,T,E,32,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_6,1002,1,1,1,1,16,1,T,18,18,T,7,1,T,27,20,20,1935,T,27,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_7,1002,36,3000,1002,36,15,5,T,17,17,T,8,5,54,26,V,24,54,T,26,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_8,1002,12,1100,202,12,9,4,T,11,11,E,7,4,15,11,V,8,E,T,E,T,E,8,
RANDOM_Size_1002_MinAct_100_MinTransProb_0.01_Model_9,1002,1,1,1,1,19,1,T,18,18,T,T,1,165,28,23,22,165,T,28,T,E,8,
RANDOM_Size_1002_MinAct_100_Model_1,1002,190,8700,101,190,9,18,8,9,9,,8,18,271,95,V,89,271,,90,,E,8,
RANDOM_Size_1002_MinAct_100_Model_10,1002,1,1,1,1,7,1,6,8,8,,6,1,12,14,9,13,12,,14,,E,7,
RANDOM_Size_1002_MinAct_100_Model_11,1002,24,1800,372,24,9,12,8,11,11,,8,12,37,15,V,14,37,,15,,E,10,
RANDOM_Size_1002_MinAct_100_Model_12,1002,23,1701,502,23,9,12,8,10,10,,8,12,36,16,V,15,36,,16,,E,9,
RANDOM_Size_1002_MinAct_100_Model_13,1002,17,1700,501,17,8,6,7,9,9,,7,6,20,10,V,9,20,,10,,E,8,
RANDOM_Size_1002_MinAct_100_Model_14,1002,1,1,1,1,8,1,7,10,10,,7,1,12,13,9,12,12,,13,,E,9,
RANDOM_Size_1002_MinAct_100_Model_15,1002,21,1701,101,21,10,5,9,11,11,,9,5,25,17,V,16,25,,17,,E,10,
RANDOM_Size_1002_MinAct_100_Model_16,1002,3,100,101,3,7,3,6,8,8,,6,3,13,15,V,14,13,,15,,E,7,
RANDOM_Size_1002_MinAct_100_Model_17,1002,3,101,102,3,7,4,6,8,8,,6,4,8,10,V,9,8,,10,,E,7,
RANDOM_Size_1002_MinAct_100_Model_18,1002,1,1,1,1,8,1,7,9,9,,7,1,9,11,5,10,9,,11,,E,8,
RANDOM_Size_1002_MinAct_100_Model_19,1002,20,1701,101,20,9,4,8,10,10,,8,4,29,19,V,18,29,,19,,E,9,
RANDOM_Size_1002_MinAct_100_Model_2,1002,1,1,1,1,8,1,7,10,10,,7,1,9,11,4,10,9,,11,,E,9,
RANDOM_Size_1002_MinAct_100_Model_20,1002,1,1,1,1,7,1,6,9,9,,6,1,14,16,11,15,14,,16,,E,8,
RANDOM_Size_1002_MinAct_100_Model_3,1002,3,101,102,3,8,4,7,9,9,,7,4,11,13,V,12,11,,13,,E,8,
RANDOM_Size_1002_MinAct_100_Model_4,1002,3,101,102,3,8,3,7,9,9,,7,3,9,11,V,10,9,,11,,E,8,
RANDOM_Size_1002_MinAct_100_Model_5,1002,1,1,1,1,7,1,6,8,8,,6,1,33,22,17,21,33,,22,,E,7,
RANDOM_Size_1002_MinAct_100_Model_6,1002,20,1701,103,20,8,6,7,9,9,,7,6,27,17,V,16,27,,17,,E,8,
RANDOM_Size_1002_MinAct_100_Model_7,1002,1,1,1,1,9,1,8,10,10,,8,1,9,11,4,10,9,,11,,E,9,
RANDOM_Size_1002_MinAct_100_Model_8,1002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_1002_MinAct_100_Model_9,1002,1,1,1,1,9,1,8,10,10,,8,1,9,11,4,10,9,,11,,E,9,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_1,1002,14,14,16,13,29,15,16,37,37,,16,16,39,49,V,35,39,,49,,E,21,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_10,1002,1,1,1,1,19,1,T,27,27,T,15,1,182,84,66,79,E,T,E,,E,21,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_11,1002,15,109,109,13,38,13,21,53,53,,21,15,E,E,V,49,53,,69,,E,29,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_12,1002,T,T,107,54167,21,9,16,27,27,,16,12,T,74,74,72,78237,,74,,E,22,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_13,1002,68,1806,1108,35,46,39,21,89,89,T,T,V,170,178,V,158,170,,178,T,E,68,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_14,1002,25,2000,105,25,16,6,T,29,29,T,13,V,78,66,V,63,E,T,E,,E,17,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_15,1001,16,501,201,12,22,7,16,36,36,,16,12,110,110,V,101,110,,110,,E,27,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_16,1002,1,1,1,1,4,1,3,4,4,,3,1,3,3,3,3,3,,3,,E,3,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_17,1002,39,2700,1500,30,27,V,21,47,47,E,21,V,126,120,V,111,126,,120,,E,37,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_18,1002,1,1,1,1,6,1,5,6,6,,5,1,7,7,7,7,7,,7,,E,5,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_19,1002,1,1,1,1,29,1,21,38,38,,21,1,216,69,46,62,216,,69,,E,29,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_2,1002,1,1,1,1,17,1,15,24,24,,15,1,96,97,80,94,96,,97,,E,22,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_20,1002,162,3200,V,95,164,V,T,618,618,,T,V,232,676,V,215,232,T,240,T,E,V,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_3,1002,1,1,1,1,22,1,14,30,30,,14,1,84,91,72,85,84,,91,,E,20,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_4,1002,1,1,1,1,18,1,13,31,31,,13,1,303,118,T,113,303,,118,,E,22,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_5,1002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_6,1002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_7,1002,19,301,201,13,32,5,17,45,45,,17,6,136,120,V,109,136,,120,,E,26,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_8,1002,140,13001,3101,138,27,79,T,39,39,T,17,79,244,125,V,123,244,T,125,T,E,25,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.0001_Model_9,1002,30,501,T,18,25,T,21,42,42,E,21,T,134,137,T,135,134,,137,,E,40,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_1,1002,31,31,31,26,26,26,16,30,30,,16,31,E,E,V,52,82,,57,,E,19,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_10,1002,1,1,1,1,24,1,T,36,36,T,19,1,181,126,107,121,E,T,E,T,E,31,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_11,1002,18,203,203,13,38,13,21,50,50,,21,18,59,73,V,58,59,,73,,E,32,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_12,1002,32,1105,105,29,31,6,21,43,43,,21,8,123,116,V,111,123,,116,,E,32,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_13,1002,1,1,1,1,20,1,16,30,30,,16,1,149,110,93,106,149,,110,,E,25,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_14,1002,1,1,1,1,27,1,13,36,36,,13,1,120,97,E,92,120,,97,,E,17,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_15,1002,1,1,1,1,4,1,3,4,4,,3,1,2,2,2,2,2,,2,,E,3,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_16,1002,1,1,1,1,10,1,9,14,14,,9,1,17,17,17,17,17,,17,,E,13,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_17,1002,19,207,112,17,28,16,T,36,36,T,21,21,64,71,V,65,E,T,E,,E,29,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_18,1002,23,400,124,15,29,V,21,47,47,,21,V,130,140,V,131,130,,140,,E,37,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_19,1002,8,2000,206,8,34,10,T,53,53,E,21,12,108,124,V,109,E,T,E,,E,38,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_2,1002,38,1101,V,28,32,V,T,45,45,T,21,V,153,133,E,125,E,T,E,,E,35,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_20,1002,16,1100,111,14,22,V,T,35,35,E,18,V,87,93,V,88,E,T,E,,E,30,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_3,1002,1,1,1,1,29,1,21,45,45,T,21,1,140,147,113,141,E,,E,,E,37,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_4,1002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_5,1002,255,3125,3225,199,519,179,21,674,674,,21,234,394,710,V,212,394,,E,,E,173,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_6,1002,1,1,1,1,4,1,3,4,4,,3,1,2,2,2,2,2,,2,,E,3,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_7,1002,1,1,1,1,31,1,19,43,43,,19,1,72,77,62,70,72,,77,,E,27,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_8,1002,17,204,116,12,27,7,T,39,39,T,T,9,140,148,V,143,E,T,E,T,E,35,
RANDOM_Size_1002_MinAct_3_MinTransProb_0.01_Model_9,1002,249,10007,V,160,171,V,21,331,331,,21,V,336,391,V,191,336,,E,,E,126,
RANDOM_Size_1002_MinAct_3_Model_1,1002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_1002_MinAct_3_Model_10,1002,1,1,1,1,24,1,21,39,39,,21,1,141,143,T,142,141,,143,,E,38,
RANDOM_Size_1002_MinAct_3_Model_11,1002,7,7,7,7,9,7,8,9,9,,8,7,13,13,V,13,13,,13,,E,8,
RANDOM_Size_1002_MinAct_3_Model_12,1002,1,1,1,1,6,1,5,7,7,,5,1,10,10,10,10,10,,10,,E,6,
RANDOM_Size_1002_MinAct_3_Model_13,1002,384,384,478,203,210,5,21,390,390,,21,6,516,506,V,479,516,,506,,E,V,
RANDOM_Size_1002_MinAct_3_Model_14,1000,9,100,T,7,17,T,16,26,26,,16,T,127,129,T,128,127,,129,,E,25,
RANDOM_Size_1002_MinAct_3_Model_15,1002,7,102,102,7,14,6,13,18,18,,13,6,28,30,V,29,28,,30,,E,17,
RANDOM_Size_1002_MinAct_3_Model_16,1002,13,102,111,10,19,5,18,27,27,,18,5,97,99,V,98,97,,99,,E,26,
RANDOM_Size_1002_MinAct_3_Model_17,1002,1,1,1,1,4,1,3,4,4,,3,1,2,2,2,2,2,,2,,E,3,
RANDOM_Size_1002_MinAct_3_Model_18,1002,1,1,1,1,6,1,5,7,7,,5,1,5,5,5,5,5,,5,,E,6,
RANDOM_Size_1002_MinAct_3_Model_19,1002,1,1,1,1,4,1,3,4,4,,3,1,2,2,2,2,2,,2,,E,3,
RANDOM_Size_1002_MinAct_3_Model_2,1002,1,1,1,1,17,1,16,20,20,,16,1,51,54,38,53,51,,54,,E,19,
RANDOM_Size_1002_MinAct_3_Model_20,1002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_1002_MinAct_3_Model_3,1002,1,1,1,1,22,1,21,34,34,,21,1,128,130,T,129,128,,130,,E,33,
RANDOM_Size_1002_MinAct_3_Model_4,1001,1,1,1,1,4,1,3,4,4,,3,1,2,2,2,2,2,,2,,E,3,
RANDOM_Size_1002_MinAct_3_Model_5,1002,1,1,1,1,18,1,17,24,24,,17,1,118,E,104,117,118,,115,,E,23,
RANDOM_Size_1002_MinAct_3_Model_6,1002,1,1,1,1,9,1,8,11,11,,8,1,21,21,19,20,21,,21,,E,10,
RANDOM_Size_1002_MinAct_3_Model_7,1000,11,101,T,8,17,T,16,27,27,,16,T,169,171,T,170,169,,171,,E,26,
RANDOM_Size_1002_MinAct_3_Model_8,1002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_1002_MinAct_3_Model_9,1002,8,107,107,7,13,7,12,17,17,,12,8,41,43,V,42,41,,43,,E,16,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_1,1002,11,107,107,11,21,11,12,26,26,,12,11,64,72,V,E,65,,73,,E,15,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_10,1002,1,1,1,1,16,1,11,20,20,E,11,1,81,77,64,74,E,,E,,E,16,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_11,1002,51,4203,203,51,25,16,14,30,30,T,14,17,91,62,V,54,91,,62,,E,18,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_12,1002,1,1,1,1,29,1,18,40,40,,18,1,79,E,46,65,79,,54,,E,26,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_13,1002,1,1,1,1,17,1,12,22,22,,12,1,136,62,48,59,136,,62,,E,16,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_14,1002,1,1,1,1,18,1,14,24,24,T,14,1,82,82,69,79,82,,82,,E,19,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_15,1002,1,1,1,1,15,1,12,21,21,E,12,1,69,73,57,70,E,,E,,E,18,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_16,1002,25,701,102,24,20,6,12,26,26,T,12,7,90,80,V,75,E,,E,,E,17,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_17,1002,13,604,111,11,16,9,12,23,23,,12,12,62,69,V,63,62,,69,,E,17,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_18,1002,1,1,1,1,17,1,13,23,23,T,13,1,700,67,56,65,700,,68,,E,18,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_19,1002,1,1,1,1,4,1,3,4,4,,3,1,2,2,2,2,2,,2,,E,3,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_2,1002,83,8101,216,83,18,14,T,25,25,E,16,V,148,87,V,84,E,T,E,,E,22,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_20,1002,30,2702,105,30,17,6,14,25,25,T,14,7,87,77,V,72,E,,E,,E,19,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_3,1002,1,1,1,1,16,1,T,23,23,T,12,1,103,88,73,85,E,T,E,,E,18,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_4,1002,1,1,1,1,24,1,16,32,32,E,16,1,71,75,54,72,E,,75,,E,23,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_5,1002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_6,1002,1,1,1,1,21,1,T,24,24,T,12,1,621,66,51,59,E,T,E,,E,15,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_7,1002,1,1,1,1,17,1,T,23,23,T,13,1,93,89,71,85,E,T,E,,E,19,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_8,1002,1,1,1,1,22,1,15,25,25,,15,1,238,67,57,64,238,,67,,E,18,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.0001_Model_9,1002,1,1,1,1,3,1,2,3,3,,2,1,1,1,1,1,1,,1,,E,2,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_1,1002,1,1,1,1,29,1,18,37,37,,18,1,47,48,31,38,47,,48,,E,24,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_10,1002,32,303,106,25,22,7,18,29,29,,18,8,81,63,V,60,81,,63,,E,24,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_11,1002,1,1,1,1,38,1,18,48,48,,18,1,77,75,45,51,77,,75,,E,22,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_12,1002,22,4502,206,49,19,7,T,21,21,T,13,9,81,73,V,70,81,T,75,,E,17,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_13,1002,215,5600,125,164,30,V,21,46,46,,21,6,266,90,V,83,E,,91,,E,39,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_14,1002,1,1,1,1,15,1,T,21,21,T,12,1,93,78,66,73,93,T,78,,E,16,
RANDOM_Size_1002_MinAct_5_MinTransProb_0.01_Model_15,1002,1,1,1,1,17,1,14,21,21,T,14,1,65,55,40,52,E,,E,,E,17,
