Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,OVI_100_opt,QP_G,QP_G_T,TBVI_100,TBVI_100_DTMC,TBVI_100_LP,TGBVI_100,TGBVI_100_DTMC,TGBVI_100_LP,TOVI_100,TOVI_100_DTMC,TOVI_100_LP,TOVI_100_opt,TOVI_100_opt_DTMC,TOVI_100_opt_LP
ManyMECs_10,32,0.5,0.5,0.49999999999999983,0.49999999999999983,0.49999959681140604,0.49999959681140604,0.5,0.5,0.5000000000000004,0.4999999999999994,0.5000000000000004,0.5000000000000004,0.4999999999999994,0.5000000000000004,0.5000000000000004,0.4999999999999994,0.5000000000000004,0.5000000000000004,0.4999999999999994,0.5000000000000004
ManyMECs_100,302,0.5,0.5,0.49999999999999983,0.49999999999999983,0.4999997442080652,0.4999997442080652,0.5,0.5,0.5000000000000004,0.4999999999999931,0.5000000000000004,0.5000000000000004,0.4999999999999931,0.5000000000000004,0.5000000000000004,0.4999999999999931,0.5000000000000004,0.5000000000000004,0.4999999999999931,0.5000000000000004
ManyMECs_1000,3002,0.5,0.5,,,0.4999998164962959,0.4999998164962959,0.5,0.5,0.5000000000000004,0.49999999999993067,0.5000000000000004,0.5000000000000004,0.49999999999993067,0.5000000000000004,0.5000000000000004,0.49999999999993067,0.5000000000000004,0.5000000000000004,0.49999999999993067,0.5000000000000004
ManyMECs_200,602,0.5,0.5,0.49999999999999983,0.49999999999999983,0.49999964921449835,0.49999964921449835,0.5,0.5,0.5000000000000004,0.4999999999999862,0.5000000000000004,0.5000000000000004,0.4999999999999862,0.5000000000000004,0.5000000000000004,0.4999999999999862,0.5000000000000004,0.5000000000000004,0.4999999999999862,0.5000000000000004
ManyMECs_300,902,0.5,0.5,0.49999999999999983,0.49999999999999983,0.49999963336399883,0.49999963336399883,0.5,0.5,0.5000000000000004,0.49999999999997924,0.5000000000000004,0.5000000000000004,0.49999999999997924,0.5000000000000004,0.5000000000000004,0.49999999999997924,0.5000000000000004,0.5000000000000004,0.49999999999997924,0.5000000000000004
ManyMECs_400,1202,0.5,0.5,0.49999999999999983,0.49999999999999983,0.49999956219893027,0.49999956219893027,0.5,0.5,0.5000000000000004,0.4999999999999723,0.5000000000000004,0.5000000000000004,0.4999999999999723,0.5000000000000004,0.5000000000000004,0.4999999999999723,0.5000000000000004,0.5000000000000004,0.4999999999999723,0.5000000000000004
ManyMECs_50,152,0.5,0.5,0.49999999999999983,0.49999999999999983,0.4999998092615974,0.4999998092615974,0.5,0.5,0.5000000000000004,0.4999999999999966,0.5000000000000004,0.5000000000000004,0.4999999999999966,0.5000000000000004,0.5000000000000004,0.4999999999999966,0.5000000000000004,0.5000000000000004,0.4999999999999966,0.5000000000000004
ManyMECs_500,1502,0.5,0.5,0.49999999999999983,0.49999999999999983,0.49999997755838305,0.49999997755838305,0.5,0.5,0.5000000000000004,0.49999999999996536,0.5000000000000004,0.5000000000000004,0.49999999999996536,0.5000000000000004,0.5000000000000004,0.49999999999996536,0.5000000000000004,0.5000000000000004,0.49999999999996536,0.5000000000000004
ManyMECs_600,1802,0.5,0.5,0.49999999999999983,0.49999999999999983,0.4999999226740811,0.4999999226740811,0.5,0.5,0.5000000000000004,0.4999999999999584,0.5000000000000004,0.5000000000000004,0.4999999999999584,0.5000000000000004,0.5000000000000004,0.4999999999999584,0.5000000000000004,0.5000000000000004,0.4999999999999584,0.5000000000000004
ManyMECs_700,2102,0.5,0.5,,0.49999999999999983,0.49999991251728565,0.49999991251728565,0.5,0.5,0.5000000000000004,0.4999999999999515,0.5000000000000004,0.5000000000000004,0.4999999999999515,0.5000000000000004,0.5000000000000004,0.4999999999999515,0.5000000000000004,0.5000000000000004,0.4999999999999515,0.5000000000000004
ManyMECs_800,2402,0.5,0.5,,,0.4999999045294799,0.4999999045294799,0.5,0.5,0.5000000000000004,0.49999999999994454,0.5000000000000004,0.5000000000000004,0.49999999999994454,0.5000000000000004,0.5000000000000004,0.49999999999994454,0.5000000000000004,0.5000000000000004,0.49999999999994454,0.5000000000000004
ManyMECs_900,2702,0.5,0.5,0.49999999999999983,0.49999999999999983,0.49999984529524477,0.49999984529524477,0.5,0.5,0.5000000000000004,0.4999999999999376,0.5000000000000004,0.5000000000000004,0.4999999999999376,0.5000000000000004,0.5000000000000004,0.4999999999999376,0.5000000000000004,0.5000000000000004,0.4999999999999376,0.5000000000000004
