Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_OVI,D_SVI,G_BVI,G_OVI,G_SVI,OPT_OVI,OVI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_OVI,T_SVI,VI
ovi_100,303,120574,101,120574,120574,3,120574,101,3,120574,3,3,120574,101,101,101,101,101,101,,2
ovi_1000,3003,,1001,,,3,,1001,3,,3,3,,1001,1001,1001,1001,1001,1001,,2
ovi_10000,30003,,10001,,,3,,10001,3,,3,3,,10001,10001,10001,10001,10001,10001,,2
ovi_500,1503,,501,,,3,,501,3,,3,3,,501,501,501,501,501,501,,2
ovi_5000,15003,,5001,,,3,,5001,3,,3,3,,5001,5001,5001,5001,5001,5001,,2
ovi_50000,150003,,,,,,,,,,,,,,,,50001,,,,2
ovi_900,2703,,901,,,3,,901,3,,3,3,,901,901,901,901,901,901,,2
ovi_9000,27003,,9001,,,3,,9001,3,,3,3,,9001,9001,9001,9001,9001,9001,,2
ovi_90000,270003,,,,,,,,,,,,,,,,90001,,,,2
