Model,#States,BVI,DG_BVI,DG_SVI,D_BVI,D_OVI,D_SVI,G_BVI,G_OVI,G_SVI,OPT_OVI,OVI,SVI,TOP_BVI,TOP_OVI,TOP_SVI,TOP_VI,T_BVI,T_OVI,T_SVI,VI
ovi_100,303,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.5,0.5,0.5,,0.5
ovi_1000,3003,,0.5,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,0.0,0.5,0.5,0.5,,0.5
ovi_10000,30003,,0.5,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,0.0,0.5,0.5,0.5,,0.5
ovi_500,1503,,0.5,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,0.0,0.5,0.5,0.5,,0.5
ovi_5000,15003,,0.5,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,0.0,0.5,0.5,0.5,,0.5
ovi_50000,150003,,,,,,,,,,,,,,,,0.5,,,,0.5
ovi_900,2703,,0.5,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,0.0,0.5,0.5,0.5,,0.5
ovi_9000,27003,,0.5,,,0.5,,0.5,0.5,,0.5,0.5,,0.5,0.5,0.0,0.5,0.5,0.5,,0.5
ovi_90000,270003,,,,,,,,,,,,,,,,0.5,,,,0.5
