Model,#States,BVI,G_OVI,LP_SI,OVI,T_LP_SI,T_OVI,T_SI_SI,WP_P3
AV18_18_2,959612,142,458,,606,,1615,,142
AV20_20_2,1436404,158,,,,,1931,,158
dice200,2188795,,,,,,,,142
dice250,3410995,,,,,,,,142
dice300,4903195,,,,,,,,142
hallway18_18_2,4199040,1,3,,3,,3,,
hallway20_20_2,6400000,1,3,,3,,3,,
hallway22_22_2,9370240,1,3,,3,,3,,
