Model,#States,BVI,G_OVI,LP_SI,OVI,T_LP_SI,T_OVI,T_SI_SI,WP_P3
AV18_18_2,959612,0.9999999993676201,1.0,1.0,1.0,1.0,0.09999999999999998,,0.9999999993676201
AV20_20_2,1436404,0.9999999999604763,,0.0,,1.0,0.1,,0.9999999999604763
dice200,2188795,,,,,0.40394687616909825,,0.40394687616909825,0.40394618142189803
dice250,3410995,,,,,0.4039468761690983,,0.4039468761690983,0.40394618142189803
dice300,4903195,,,,,0.40394687616909825,,0.40394687616909825,0.40394618142189803
hallway18_18_2,4199040,1.0,1.0,7.043365890524456E-12,1.0,7.043365890524456E-12,1.0,,
hallway20_20_2,6400000,1.0,1.0,,1.0,,1.0,,
hallway22_22_2,9370240,1.0,1.0,,1.0,,1.0,,
