Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
AV18_18_2, 959612, 2043862, 2676, 0, 956936, 6, 4, 0.1, 326756, 2.1298838, 2.899403, 1.3612964, 480984, 478628, 0.32205418, 648, 477816, 1, 1475.7376543209878, 1.0, 1294, 479160, 1, 741.5857805255023, 4, 2, 479160, 479160.0, , , , , 0.0, 0.0, 13.197, 1.005
AV20_20_2, 1436404, 3053142, 3284, 0, 1433120, 6, 4, 0.1, 497060, 2.1255455, 2.912015, 1.3700083, 719672, 716732, 0.3242551, 800, 715756, 1, 1790.3875, 1.0, 1598, 717404, 1, 898.8760951188987, 4, 2, 717404, 717404.0, , , , , 0.0, 0.0, 21.81, 1.94
dice200, 2188795, 2913589, 304500, 0, 1884295, 2, 6, 0.16666666666666666, 725995, 1.3311384, 2.9895737, 2.2458775, 733195, 1455600, 0.11076441, , , , , , , , , , , , , , , , , , 0.0, 0.0, , 
dice250, 3410995, 4541989, 474375, 0, 2936620, 2, 6, 0.16666666666666666, 1132495, 1.331573, 2.9916384, 2.246695, 1141495, 2269500, 0.11083326, , , , , , , , , , , , , , , , , , 0.0, 0.0, , 
dice300, 4903195, 6530389, 681750, 0, 4221445, 2, 6, 0.16666666666666666, 1628995, 1.331864, 2.9930208, 2.247242, 1639795, 3263400, 0.110879295, , , , , , , , , , , , , , , , , , 0.0, 0.0, , 
hallway18_18_2, 4199040, 10730880, 2099520, 0, 2099520, 5, 6, 0.01, 2519424, 2.5555556, 4.214782, 1.6492627, 2519424, 1679616, 0.45313352, 1, 1679616, 1679616, 1679616.0, 1679616.0, 2, 2099520, 2099520, 2099520.0, 2, 2, 2099520, 2099520.0, , , , , 0.0, 0.0, 33.19, 5.765
hallway20_20_2, 6400000, 16384000, 3200000, 0, 3200000, 5, 6, 0.01, 3840000, 2.56, 3.4045088, 1.3298862, 3840000, 2560000, 0.45350376, 1, 2560000, 2560000, 2560000.0, 2560000.0, 2, 3200000, 3200000, 3200000.0, 2, 2, 3200000, 3200000.0, , , , , 0.0, 0.0, 31.487, 8.938
hallway22_22_2, 9370240, 24021888, 4685120, 0, 4685120, 5, 6, 0.01, 5622144, 2.5636363, 3.175864, 1.2388122, 5622144, 3748096, 0.4538014, 1, 3748096, 3748096, 3748096.0, 3748096.0, 2, 4685120, 4685120, 4685120.0, 2, 2, 4685120, 4685120.0, , , , , 0.0, 0.0, 17.212, 15.229
