Model,#States,BVI,G_OVI,LP_SI,OVI,T_LP_SI,T_OVI,WP_P3
simple,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5
simple_1_000_000_10_MEC,3,,,,,,,
simple_1_000_000_1_MEC,3,,,,,,,
simple_1_000_000_2_MEC,3,,,,,,,
simple_1_000_000_4_MEC,3,,,,,,,
simple_1_000_000_5_MEC,3,,,,,,,
