Model,#States,BVI_100,TBVI_100
RANDOM_SIZE_10000_MODEL_1,10000,0.171,0.341
RANDOM_SIZE_10000_MODEL_10,10000,4.807,9.112
RANDOM_SIZE_10000_MODEL_2,10000,1.089,
RANDOM_SIZE_10000_MODEL_3,10000,1.125,
RANDOM_SIZE_10000_MODEL_4,10000,3.538,8.637
RANDOM_SIZE_10000_MODEL_5,10000,1.232,
RANDOM_SIZE_10000_MODEL_6,10000,1.405,
RANDOM_SIZE_10000_MODEL_7,10000,1.105,
RANDOM_SIZE_10000_MODEL_8,10000,19.364,
RANDOM_SIZE_10000_MODEL_9,10000,0.246,0.137
RANDOM_TEST_TOPOLOGICAL,118,0.781,
