Model,#States,BVI_100,TBVI_100
RANDOM_SIZE_10000_MODEL_1,10000,1,4
RANDOM_SIZE_10000_MODEL_10,10000,1,1479
RANDOM_SIZE_10000_MODEL_2,10000,1,
RANDOM_SIZE_10000_MODEL_3,10000,1,
RANDOM_SIZE_10000_MODEL_4,10000,1,1942
RANDOM_SIZE_10000_MODEL_5,10000,1,
RANDOM_SIZE_10000_MODEL_6,10000,1,
RANDOM_SIZE_10000_MODEL_7,10000,1,
RANDOM_SIZE_10000_MODEL_8,10000,2200,
RANDOM_SIZE_10000_MODEL_9,10000,1,0
RANDOM_TEST_TOPOLOGICAL,118,6200,
