Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_40000_1,40000,1.697,1.63,2.663
RND_40000_10,40000,1.734,1.541,1.613
RND_40000_2,40000,1.832,1.669,1.582
RND_40000_3,40000,1.861,1.646,1.711
RND_40000_4,40000,1.428,1.482,1.97
RND_40000_5,40000,1.439,1.689,1.844
RND_40000_6,40000,1.602,1.855,2.277
RND_40000_7,40000,1.527,1.64,2.402
RND_40000_8,40000,1.61,1.413,2.157
RND_40000_9,40000,1.306,1.367,1.575
