Model,#States,BVI
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,10000,0.861
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,10000,0.568
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,10000,0.826
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,10000,0.376
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,9373,0.429
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,10000,0.581
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,10000,1.322
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,10000,1.105
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,10000,0.457
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,10000,0.562
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,10000,1.096
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,10000,0.413
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,10000,0.547
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,10000,0.359
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,10000,0.046
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,10000,0.801
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,10000,1.107
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,10000,0.349
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,10000,1.033
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,10000,0.412
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,10000,0.653
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,10000,0.482
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,10000,0.575
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,10000,0.578
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,8314,0.008
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,10000,0.589
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,10000,0.454
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,10000,0.131
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,10000,0.737
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,10000,0.488
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,10000,0.374
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,10000,1.108
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,10000,0.306
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,10000,0.645
RANDOM_Size_10000_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,10000,0.332
