Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_8,1002,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_9,1002,,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_1,1002,,0.0,0.0030800000000000003,0.0030800000000000003,0.0030800000000000003,,,1.0,1.0,,0.0030800000000000003,0.0030800000000000003,0.0030800000000000003,0.0030800000000000003
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_10,1002,,0.0,0.01,0.01,0.01,,0.009999999999988993,1.0,1.0,0.009999999999988993,0.01,0.01,0.01,0.01
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_11,1002,,0.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.01,0.01,0.01,0.01
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_12,1002,,0.0,0.009,0.009,0.009,,,1.0,1.0,,0.009,0.009,0.009,0.009
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_13,1002,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_14,1002,,0.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.010000000000000002
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_15,1002,,0.0,0.010000000000000002,0.010000000000000002,0.010000000000000002,,,1.0,1.0,,0.01,0.01,0.01,0.01
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_16,1002,,0.0,0.01,0.01,0.01,,,1.0,1.0,,0.01,0.01,0.01,0.01
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_17,1002,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_18,1002,,0.0,0.1369,0.1369,0.1369,,,0.602,0.602,,0.1369,0.1369,0.1369,0.1369
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_19,1002,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_2,1002,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_20,1002,,0.0,0.49060000000000004,0.49060000000000004,0.49060000000000004,,,1.0,1.0,,0.49060000000000004,0.49060000000000004,0.49060000000000004,0.49060000000000004
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_21,1002,,0.0,0.005,0.005,0.005,,,0.005,0.005,,0.005,0.005,0.005,0.005
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_22,1002,,0.0,0.01,0.01,0.01,,,1.0,1.0,,0.01,0.01,0.01,0.01
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_23,1002,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0
