Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_1, 1002, 2603, 1, 434, 567, 5, 8, 0.01, 1533, 417, 1, 1, 1.0, 1.0, 436, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_10, 1002, 2603, 1, 455, 546, 5, 7, 0.01, 1535, 415, 1, 1, 1.0, 1.0, 458, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_11, 1002, 2603, 1, 468, 533, 5, 7, 0.01, 1522, 395, 1, 1, 1.0, 1.0, 407, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_12, 1002, 2603, 1, 460, 541, 5, 6, 0.01, 1526, 413, 1, 1, 1.0, 1.0, 436, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_13, 1002, 2603, 1, 485, 516, 5, 6, 0.01, 1538, 393, 1, 1, 1.0, 1.0, 439, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_14, 1002, 2603, 1, 454, 547, 5, 8, 0.01, 1535, 403, 1, 1, 1.0, 1.0, 418, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_15, 1002, 2603, 1, 476, 525, 5, 8, 0.01, 1543, 396, 1, 1, 1.0, 1.0, 439, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_16, 1002, 2603, 1, 479, 522, 5, 6, 0.01, 1552, 399, 1, 1, 1.0, 1.0, 434, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_17, 1002, 2603, 1, 440, 561, 5, 7, 0.01, 1522, 416, 1, 1, 1.0, 1.0, 426, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_18, 1002, 2603, 1, 451, 550, 5, 7, 0.01, 1502, 414, 1, 1, 1.0, 1.0, 504, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_19, 1002, 2603, 1, 463, 538, 5, 6, 0.01, 1538, 388, 1, 1, 1.0, 1.0, 401, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_2, 1002, 2603, 1, 460, 541, 5, 7, 0.01, 1506, 413, 1, 1, 1.0, 1.0, 431, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_20, 1002, 2603, 1, 467, 534, 5, 6, 0.01, 1519, 398, 1, 1, 1.0, 1.0, 440, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_21, 1002, 2603, 1, 446, 555, 5, 7, 0.01, 1539, 408, 1, 1, 1.0, 1.0, 461, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_22, 1002, 2603, 1, 458, 543, 5, 7, 0.01, 1542, 414, 1, 1, 1.0, 1.0, 473, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_23, 1002, 2603, 1, 447, 554, 5, 7, 0.01, 1548, 410, 1, 1, 1.0, 1.0, 425, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_24, 1002, 2603, 1, 474, 527, 5, 6, 0.01, 1520, 396, 1, 1, 1.0, 1.0, 448, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_25, 1002, 2603, 1, 504, 497, 5, 7, 0.01, 1503, 386, 1, 1, 1.0, 1.0, 405, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_26, 1002, 2603, 1, 482, 519, 5, 7, 0.01, 1514, 393, 1, 1, 1.0, 1.0, 435, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_27, 1002, 2603, 1, 455, 546, 5, 7, 0.01, 1531, 405, 1, 1, 1.0, 1.0, 426, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_28, 1002, 2603, 1, 461, 540, 5, 8, 0.01, 1536, 400, 1, 1, 1.0, 1.0, 426, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_29, 1002, 2603, 1, 454, 547, 5, 7, 0.01, 1528, 414, 1, 1, 1.0, 1.0, 435, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_3, 1002, 2603, 1, 466, 535, 5, 6, 0.01, 1507, 404, 1, 1, 1.0, 1.0, 419, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_30, 1002, 2603, 1, 487, 514, 5, 7, 0.01, 1559, 371, 1, 1, 1.0, 1.0, 383, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_4, 1002, 2603, 1, 491, 510, 5, 7, 0.01, 1534, 396, 1, 1, 1.0, 1.0, 414, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_5, 1002, 2603, 1, 495, 506, 5, 6, 0.01, 1534, 394, 1, 1, 1.0, 1.0, 451, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_6, 1002, 2603, 1, 472, 529, 5, 6, 0.01, 1538, 392, 1, 1, 1.0, 1.0, 426, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_7, 1002, 2603, 1, 466, 535, 5, 7, 0.01, 1550, 406, 1, 1, 1.0, 1.0, 422, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_8, 1002, 2603, 1, 506, 495, 5, 8, 0.01, 1541, 389, 1, 1, 1.0, 1.0, 436, , , , 
RANDOM_Size_1002_MinAct_5_Type-tree_MinTransProb_0.1_Model_9, 1002, 2603, 1, 437, 564, 5, 7, 0.01, 1537, 411, 1, 1, 1.0, 1.0, 431, , , , 
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_1, 1002, 2753, 1, 466, 535, 8, 7, 0.01, 1577, 464, 1, 1, 1.0, 1.0, 482, , , , 
