Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_14,1002,,0.232,0.401,0.157,0.191,,,0.859,0.399,,4.399,6.142,5.355,3.746
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_15,1002,,0.348,0.499,0.343,0.318,,,0.945,0.334,,5.114,4.806,3.539,4.242
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_16,1002,,0.219,0.442,0.282,0.301,,,0.42,0.325,,6.064,4.278,4.535,4.748
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_17,1002,,0.319,0.122,0.246,0.369,,,0.995,0.387,,5.566,6.734,3.587,3.555
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_18,1002,,0.366,0.259,0.203,0.236,,,0.659,0.325,,6.842,6.778,4.494,4.092
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_19,1002,,0.38,0.204,0.197,0.297,,0.932,0.459,0.378,0.318,6.458,5.803,4.857,5.061
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_2,1002,,0.374,0.194,0.311,0.428,,,0.493,0.306,,5.307,4.496,3.857,3.444
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_20,1002,,0.463,0.305,0.294,0.21,,,0.763,0.339,,4.247,4.054,5.251,4.571
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_21,1002,,0.468,0.309,0.191,0.242,,,0.755,0.426,,6.408,6.083,3.315,4.556
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_22,1002,,0.314,0.299,0.187,0.291,,,0.673,0.408,,6.391,5.816,3.506,3.672
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_23,1002,,0.374,0.155,0.249,0.328,,,0.496,0.537,,6.269,5.685,4.568,4.598
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_24,1002,,0.401,0.26,0.227,0.303,,,0.528,0.308,,6.929,5.794,5.185,4.373
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_25,1002,,0.288,0.134,0.284,0.362,,,0.657,0.417,,6.15,5.623,4.982,4.909
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_26,1002,,0.577,0.25,0.327,0.419,,,0.582,0.36,,5.817,5.459,4.992,4.56
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_27,1002,,0.433,0.311,0.308,0.379,,,0.611,0.3,,5.609,6.156,5.043,4.313
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_28,1002,,0.267,0.369,0.495,0.315,,,0.535,0.309,,6.6,6.096,4.581,4.871
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_29,1002,,0.509,0.309,0.196,0.466,,,0.502,0.276,,6.524,5.876,5.795,5.601
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_3,1002,,,0.337,0.516,0.275,,,0.912,0.305,,5.009,4.405,2.534,5.012
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_30,1002,,0.5,0.124,0.178,0.353,,,0.408,0.37,,6.222,4.901,4.846,3.71
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_4,1002,,0.293,0.168,0.11,0.366,,,0.803,0.393,,4.766,3.614,5.209,4.354
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_5,1002,,0.407,0.366,0.174,0.345,,0.559,0.485,0.324,0.816,5.963,4.906,,
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_6,1002,,0.331,0.204,0.173,0.428,,,0.631,0.378,,4.436,5.185,3.047,3.413
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_7,1002,,0.478,0.341,0.205,0.463,,,0.312,0.47,,5.37,5.011,5.109,3.301
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_8,1002,,0.304,0.41,0.291,0.227,,,0.642,0.387,,5.744,2.816,5.451,4.27
RANDOM_Size_1002_MinAct_8_Type-tree_MinTransProb_0.1_Model_9,1002,,0.396,0.336,0.312,0.328,,,0.377,0.442,,6.678,3.607,5.141,4.199
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_1,1002,,,0.6,0.168,1.932,,,,,,4.646,3.791,3.196,2.899
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_10,1002,,,0.453,0.256,1.128,,,,,,3.761,3.55,2.602,3.241
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_11,1002,,,0.51,0.21,1.053,,,,,,3.661,3.698,3.356,2.522
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_12,1002,,0.484,0.343,0.311,0.917,,,,,,3.368,3.205,2.223,1.713
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_13,1002,,0.351,0.434,0.288,0.331,,,,,,3.595,3.126,2.568,2.613
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_14,1002,,0.339,0.311,0.23,1.064,,,,,,3.291,2.616,3.359,2.757
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_15,1002,,0.418,0.301,0.261,0.926,,,,,,4.049,3.383,2.36,2.831
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_16,1002,,0.372,0.377,0.245,0.411,,,,,,4.135,2.991,2.22,2.916
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_17,1002,,0.4,0.319,0.216,0.895,,,,,,4.618,3.388,2.296,3.156
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_18,1002,,0.373,0.278,0.187,1.082,,,,,,4.088,3.073,3.182,2.801
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_19,1002,,0.416,0.378,0.33,1.565,,,,,,4.341,2.23,2.279,2.867
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_2,1002,,0.413,0.267,0.31,1.469,,,,,,4.652,4.128,4.182,2.946
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_20,1002,,0.398,0.336,0.196,1.099,,,,,,1.937,2.464,3.179,2.461
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_21,1002,,0.537,0.233,0.261,1.009,,,,,,3.603,3.193,3.7,2.912
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_22,1002,,0.531,0.436,0.265,1.051,,,,,,3.726,2.5,2.388,2.078
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_23,1002,,0.543,0.371,0.281,1.065,,,,,,3.234,3.234,3.963,2.728
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_24,1002,,0.579,0.354,0.2,0.868,,,,,,3.91,3.355,3.587,2.18
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_25,1002,,0.463,0.318,0.277,1.03,,,,,,3.477,3.057,2.207,3.071
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_26,1002,,0.469,0.437,0.161,1.184,,,,4.775,,2.763,3.136,3.124,2.521
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_27,1002,,0.46,0.277,0.135,0.896,,,,,,3.495,3.187,3.048,2.135
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_28,1002,,,0.361,0.232,0.771,,,,,,4.33,2.416,2.372,3.058
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_29,1002,,0.663,0.309,0.184,0.846,,,,,,3.368,3.318,3.088,2.51
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_3,1002,,0.644,0.304,0.201,0.7,,,0.659,0.526,,4.282,3.101,3.303,2.761
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_30,1002,,,0.567,0.242,1.769,,,,,,2.793,3.226,2.894,3.517
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_4,1002,,0.593,0.364,0.157,2.017,,,,16.84,,2.506,3.132,3.174,3.047
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_5,1002,,,0.347,0.228,2.729,,,,,,3.783,3.326,2.878,2.693
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_6,1002,,0.638,0.326,0.245,1.778,,,,,,1.946,3.633,2.456,3.472
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_7,1002,,0.65,0.255,0.154,1.842,,,,,,4.016,3.648,3.112,1.733
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_8,1002,,0.677,0.288,0.192,2.308,,,,,,2.561,2.652,3.277,2.677
RANDOM_Size_1002_Type-tree_MinTransProb_0.1_Model_9,1002,,0.528,0.289,0.22,2.045,,,,2.414,,3.47,4.297,3.544,3.04
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,102,,0.211,0.11,0.053,0.203,,,0.234,0.154,,0.77,0.943,0.733,0.834
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,102,,0.217,0.087,0.05,0.214,,,0.149,0.129,,0.531,0.644,0.375,0.709
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,102,,0.108,0.147,0.03,0.219,,,0.264,0.099,,0.591,0.396,0.748,0.848
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,102,,0.143,0.151,0.044,0.1,,,0.103,0.152,,0.798,0.786,0.756,0.701
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,102,,0.22,0.124,0.039,0.165,,,0.213,0.15,,0.412,0.681,0.512,0.488
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,102,,0.22,0.101,0.044,0.244,,0.081,0.204,0.169,0.164,0.892,0.816,0.66,0.612
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,102,,0.216,0.176,0.048,0.172,,0.076,0.24,0.155,0.182,0.738,0.236,0.651,0.366
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,102,,0.158,0.08,0.022,0.154,,0.266,0.21,0.144,0.137,0.36,0.263,0.348,0.545
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,102,,0.2,0.079,0.04,0.112,,0.149,0.256,0.135,0.174,0.862,0.641,0.481,0.37
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,102,,0.183,0.157,0.054,0.17,,0.263,0.324,0.128,0.197,1.067,0.636,0.673,0.501
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,102,,0.171,0.056,0.042,0.199,,0.266,0.257,0.13,0.159,0.61,0.666,0.587,0.495
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,102,,0.193,0.061,0.043,0.1,,,0.129,0.162,,0.836,0.253,0.51,0.448
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,102,,,0.079,0.043,0.093,,,0.178,0.145,,0.673,0.936,0.592,0.535
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_21,102,,0.128,0.116,0.042,0.152,,,0.256,0.138,,0.479,0.221,0.518,0.549
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_22,102,,0.159,0.06,0.037,0.045,,0.267,0.222,0.169,0.117,0.508,0.498,0.612,0.682
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_23,102,,0.115,0.242,0.054,0.07,,0.419,0.221,0.155,0.12,0.97,1.015,0.626,0.455
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_24,102,,0.134,0.212,0.051,0.078,,0.353,0.186,0.143,0.121,0.673,0.485,0.492,0.738
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_25,102,,0.102,0.062,0.046,0.073,,,0.101,0.178,,0.602,0.275,0.693,0.743
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_26,102,,0.112,0.063,0.043,0.12,,0.267,0.224,0.191,0.121,0.397,0.631,0.272,0.65
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_27,102,,0.17,0.059,0.063,0.115,,0.216,0.148,0.103,0.103,0.739,0.652,0.472,0.303
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_28,102,,0.174,0.024,0.023,0.133,,0.398,0.196,0.157,0.137,0.655,0.682,0.357,0.282
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_29,102,,0.165,0.042,0.045,0.141,,,0.212,0.128,,0.85,0.838,0.63,0.738
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_3,102,,0.092,0.037,0.028,0.055,,0.301,0.185,0.091,0.103,0.719,0.852,0.776,0.628
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_30,102,,0.077,0.099,0.052,0.094,,0.162,0.279,0.158,0.115,0.9,0.728,0.567,0.416
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_4,102,,0.073,0.029,0.06,0.143,,,0.207,0.14,,1.033,0.743,0.698,0.881
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_5,102,,0.121,0.055,0.05,0.104,,0.188,0.162,0.138,0.078,0.796,0.688,0.772,0.926
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_6,102,,0.144,0.08,0.036,0.16,,,0.123,0.186,,0.636,0.668,0.692,0.681
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_7,102,,0.09,0.077,0.04,0.08,,0.204,0.215,0.149,0.121,0.69,0.58,0.734,0.842
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_8,102,,0.169,0.096,0.065,0.077,,,0.26,0.141,,0.764,0.567,0.718,0.308
RANDOM_Size_102_MinAct_5_Type-tree_MinTransProb_0.1_Model_9,102,,0.226,0.025,0.033,0.065,,0.209,0.293,0.155,0.128,0.987,0.425,0.43,0.488
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_1,102,,0.268,0.031,0.036,0.076,,0.287,0.203,0.123,0.079,1.097,0.383,0.829,0.739
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_10,102,,0.088,0.163,0.062,0.096,,0.212,0.132,0.125,0.201,0.516,0.724,0.796,0.693
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_11,102,,,0.037,0.054,0.042,,,0.143,0.126,,0.301,0.306,0.533,0.335
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_12,102,,0.213,0.104,0.044,0.115,,0.189,0.206,0.085,0.138,0.869,0.489,0.412,0.692
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_13,102,,0.176,0.041,0.048,0.095,,,0.154,0.104,,0.698,0.856,0.822,0.617
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_14,102,,0.186,0.091,0.061,0.078,,,0.219,0.137,,0.609,0.365,0.558,0.539
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_15,102,,,0.08,0.029,0.077,,0.255,0.237,0.107,0.146,0.783,0.576,0.591,0.558
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_16,102,,0.152,0.123,0.041,0.093,,,0.228,0.083,,0.603,0.75,0.764,0.615
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_17,102,,0.191,0.048,0.051,0.076,,0.226,0.09,0.087,0.137,0.626,0.819,0.6,0.541
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_18,102,,0.165,0.097,0.086,0.093,,0.265,0.173,0.165,0.125,0.438,0.714,0.63,0.392
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_19,102,,0.141,0.038,0.06,0.069,,,0.294,0.09,,0.756,0.823,0.798,0.321
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_2,102,,0.244,0.115,0.064,0.073,,0.221,0.262,0.079,0.143,0.865,1.017,0.891,0.72
RANDOM_Size_102_MinAct_8_Type-tree_MinTransProb_0.1_Model_20,102,,0.173,0.09,0.045,0.161,,0.202,0.145,0.124,0.174,0.924,0.664,0.76,0.878
