Model,#States,AMPL_M,AMPL_T,BVI_100,GBVI_100,OVI_100,QP_CON,QP_G,QP_G_T,QP_G_T_W,QP_G_W,TBVI_100,TGBVI_100,TOVI_100,TOVI_100_opt
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_18,102,,0.204,0.107,0.032,0.1,,,,,,0.665,0.517,0.319,0.605
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_19,102,,0.18,0.095,0.037,0.074,,,,,,0.723,0.452,0.6,0.475
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_2,102,,0.245,0.12,0.029,0.177,,,,,,0.51,0.358,0.549,0.511
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_20,102,,0.191,0.064,0.071,0.251,,,,,,0.326,0.698,0.309,0.411
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_21,102,,,0.058,0.063,0.16,,,,,,0.345,0.584,0.258,0.432
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_22,102,,0.198,0.099,0.103,0.128,,,,,,0.36,0.615,0.259,0.496
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_23,102,,0.178,0.113,0.06,0.197,,,,,,0.528,0.384,0.527,0.507
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_24,102,,0.19,0.069,0.079,0.16,,,,,,0.542,0.272,0.32,0.605
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_25,102,,0.167,0.086,0.086,0.405,,,,,,0.613,0.718,0.555,0.615
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_26,102,,0.145,0.059,0.062,0.163,,,0.191,0.139,,0.558,0.202,0.339,0.451
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_27,102,,0.148,0.09,0.029,0.154,,,,,,0.517,0.654,0.356,0.505
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_28,102,,0.14,0.072,0.034,0.08,,,0.107,0.146,,0.349,0.317,0.539,0.339
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_29,102,,0.152,0.151,0.045,0.091,,,,,,0.701,0.212,0.628,0.436
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_3,102,,0.181,0.122,0.06,0.205,,,,,,0.793,0.653,0.434,0.25
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_30,102,,0.13,0.091,0.073,0.255,,,,,,0.536,0.491,0.246,0.395
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_4,102,,0.118,0.079,0.073,0.228,,,,,,0.264,0.624,0.639,0.35
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_5,102,,0.133,0.076,0.073,0.15,,,0.187,0.177,,0.299,0.615,0.534,0.363
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_6,102,,0.174,0.088,0.066,0.077,,,,,,0.664,0.557,0.229,0.253
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_7,102,,0.152,0.084,0.064,0.158,,,,,,0.596,0.561,0.352,0.373
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_8,102,,0.128,0.128,0.052,0.201,,,0.151,0.15,,0.489,0.369,0.568,0.454
RANDOM_Size_102_Type-tree_MinTransProb_0.1_Model_9,102,,0.139,0.085,0.039,0.175,,,,,,0.23,0.529,0.399,0.37
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_1,12,,0.075,0.053,0.021,0.024,,0.108,0.121,0.078,0.059,0.291,0.193,0.116,0.2
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_10,12,,0.044,0.062,0.013,0.031,,0.082,0.091,0.056,0.084,0.21,0.168,0.083,0.049
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_11,12,,0.064,0.056,0.014,0.017,,0.1,0.075,0.03,0.061,0.061,0.174,0.159,0.13
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_12,12,,0.062,0.022,0.052,0.026,,0.106,0.118,0.032,0.062,0.259,0.217,0.215,0.126
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_13,12,,0.069,0.035,0.015,0.024,,0.105,0.198,0.09,0.069,0.398,0.202,0.074,0.134
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_14,12,,0.073,0.034,0.018,0.061,,0.179,0.112,0.084,0.063,0.142,0.06,0.205,0.097
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_15,12,,0.039,0.016,0.022,0.021,,0.11,0.047,0.035,0.075,0.14,0.06,0.066,0.24
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_16,12,0.097,0.071,0.019,0.019,0.015,,0.097,0.028,0.034,0.061,0.18,0.156,0.162,0.063
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_17,12,,0.088,0.015,0.015,0.027,,0.088,0.092,0.04,0.064,0.226,0.118,0.191,0.13
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_18,12,,0.053,0.017,0.026,0.03,,0.082,0.063,0.042,0.067,0.094,0.245,0.19,0.102
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_19,12,,0.09,0.054,0.033,0.034,,0.094,0.126,0.096,0.072,0.289,0.074,0.396,0.134
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_2,12,,0.084,0.045,0.018,0.069,,0.111,0.061,0.038,0.07,0.286,0.143,0.146,0.164
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_20,12,,0.105,0.029,0.018,0.024,,0.091,0.059,0.081,0.068,0.117,0.225,0.1,0.14
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_21,12,,0.049,0.07,0.019,0.026,,0.094,0.1,0.066,0.079,0.257,0.158,0.256,0.126
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_22,12,,0.079,0.072,0.016,0.076,,0.165,0.105,0.03,0.069,0.151,0.191,0.175,0.269
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_23,12,,0.069,0.06,0.045,0.019,,0.103,0.216,0.088,0.075,0.207,0.228,0.202,0.125
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_24,12,,0.106,0.036,0.016,0.021,,0.131,0.027,0.045,0.068,0.175,0.212,0.235,0.14
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_25,12,,0.114,0.027,0.05,0.02,,0.15,0.063,0.083,0.077,0.16,0.219,0.13,0.164
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_26,12,,0.094,0.037,0.023,0.027,,0.137,0.071,0.123,0.069,0.257,0.161,0.077,0.146
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_27,12,,0.099,0.056,0.016,0.016,,0.103,0.077,0.047,0.09,0.263,0.268,0.102,0.198
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_28,12,,0.113,0.04,0.014,0.025,,0.12,0.035,0.032,0.06,0.261,0.06,0.146,0.114
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_29,12,,0.116,0.098,0.015,0.03,,0.077,0.174,0.064,0.067,0.168,0.108,0.064,0.198
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_3,12,,0.067,0.029,0.027,0.015,,0.11,0.178,0.058,0.071,0.199,0.331,0.316,0.104
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_30,12,,0.092,0.026,0.021,0.027,,0.117,0.087,0.034,0.065,0.292,0.222,0.179,0.069
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_4,12,,0.137,0.023,0.018,0.023,,0.267,0.276,0.049,0.099,0.319,0.155,0.238,0.2
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_5,12,,0.107,0.042,0.036,0.036,,0.171,0.159,0.057,0.125,0.264,0.072,0.254,0.187
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_6,12,,0.125,0.085,0.024,0.038,,0.202,0.207,0.062,0.131,0.159,0.227,0.158,0.135
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_7,12,,0.104,0.033,0.018,0.021,,0.072,0.087,0.061,0.083,0.212,0.187,0.194,0.238
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_8,12,,0.119,0.047,0.025,0.023,,0.095,0.109,0.048,0.088,0.454,0.13,0.111,0.254
RANDOM_Size_12_MinAct_5_Type-tree_MinTransProb_0.1_Model_9,12,,0.069,0.038,0.011,0.027,,0.155,0.099,0.027,0.123,0.24,0.057,0.066,0.161
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_1,12,,0.084,0.042,0.021,0.052,,0.466,0.126,0.035,0.243,0.369,0.159,0.209,0.194
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_10,12,,0.073,0.03,0.027,0.017,,0.083,0.098,0.022,0.115,0.074,0.275,0.144,0.064
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_11,12,,0.122,0.051,0.02,0.058,,0.196,0.097,0.027,0.09,0.299,0.147,0.208,0.264
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_12,12,,0.076,0.026,0.029,0.022,,0.12,0.022,0.027,0.102,0.235,0.252,0.166,0.168
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_13,12,,0.081,0.084,0.023,0.121,,0.128,0.104,0.03,0.111,0.123,0.232,0.068,0.144
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_14,12,,0.05,0.045,0.019,0.04,,0.193,0.082,0.038,0.071,0.08,0.058,0.133,0.084
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_15,12,,0.11,0.026,0.018,0.07,,0.133,0.059,0.045,0.078,0.127,0.059,0.075,0.237
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_16,12,,0.096,0.021,0.015,0.073,,0.178,0.09,0.054,0.11,0.285,0.173,0.085,0.115
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_17,12,,0.138,0.025,0.053,0.111,,0.323,0.095,0.05,0.124,0.07,0.159,0.251,0.19
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_18,12,,0.101,0.027,0.049,0.14,,0.18,0.09,0.039,0.103,0.3,0.331,0.146,0.326
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_19,12,,0.111,0.021,0.017,0.069,,0.064,0.084,0.042,0.112,0.321,0.064,0.224,0.133
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_2,12,,0.163,0.025,0.017,0.021,,0.275,0.063,0.036,0.089,0.285,0.275,0.19,0.111
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_20,12,,0.076,0.043,0.046,0.026,,0.176,0.105,0.028,0.109,0.089,0.232,0.136,0.218
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_21,12,,0.08,0.034,0.02,0.136,,0.065,0.079,0.04,0.157,0.132,0.131,0.168,0.139
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_22,12,,0.13,0.049,0.018,0.031,,0.175,0.053,0.039,0.111,0.242,0.062,0.267,0.137
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_23,12,,0.071,0.056,0.014,0.076,,0.212,0.043,0.03,0.094,0.165,0.239,0.217,0.142
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_24,12,,0.072,0.037,0.019,0.15,,0.316,0.996,0.311,0.171,0.124,0.154,0.248,0.337
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_25,12,,0.121,0.043,0.013,0.033,,0.111,0.059,0.07,0.133,0.193,0.142,0.128,0.206
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_26,12,,0.093,0.022,0.039,0.119,,0.116,0.022,0.029,0.118,0.283,0.252,0.237,0.239
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_27,12,,0.069,0.013,0.017,0.049,,0.169,0.053,0.024,0.113,0.217,0.215,0.161,0.121
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_28,12,,0.074,0.016,0.015,0.058,,0.156,0.137,0.026,0.097,0.143,0.069,0.072,0.283
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_29,12,,0.087,0.024,0.023,0.123,,0.127,0.051,0.03,0.128,0.254,0.164,0.202,0.249
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_3,12,,0.102,0.02,0.022,0.159,,0.141,0.092,0.036,0.088,0.206,0.126,0.178,0.227
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_30,12,,0.087,0.079,0.02,0.099,,0.173,0.096,0.027,0.145,0.162,0.092,0.146,0.197
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_4,12,,0.107,0.031,0.039,0.041,,0.093,0.104,0.061,0.132,0.274,0.259,0.206,0.16
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_5,12,,0.096,0.045,0.021,0.024,,0.207,0.098,0.029,0.107,0.139,0.153,0.2,0.073
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_6,12,,0.09,0.027,0.045,0.042,,0.132,0.058,0.047,0.11,0.291,0.2,0.043,0.178
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_7,12,,0.102,0.021,0.017,0.078,,0.134,0.105,0.034,0.081,0.144,0.207,0.144,0.102
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_8,12,,0.131,0.038,0.018,0.056,,0.179,0.045,0.067,0.088,0.207,0.288,0.21,0.294
RANDOM_Size_12_MinAct_8_Type-tree_MinTransProb_0.1_Model_9,12,,0.11,0.065,0.017,0.12,,0.075,0.084,0.065,0.063,0.192,0.224,0.153,0.136
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_1,12,,0.072,0.043,0.021,0.124,,0.13,0.183,0.082,0.063,0.215,0.215,0.082,0.264
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_10,12,,0.049,0.03,0.021,0.027,,0.069,0.14,0.059,0.149,0.133,0.065,0.201,0.138
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_11,12,,0.085,0.063,0.021,0.098,,0.154,0.119,0.047,0.093,0.186,0.251,0.257,0.247
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_12,12,,0.079,0.031,0.018,0.06,,0.174,0.12,0.051,0.148,0.267,0.32,0.179,0.17
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_13,12,,0.106,0.049,0.023,0.17,,0.347,0.21,0.084,0.156,0.078,0.22,0.227,0.201
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_14,12,,0.124,0.057,0.023,0.14,,0.302,0.161,0.056,0.119,0.257,0.197,0.257,0.149
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_15,12,,0.107,0.023,0.019,0.134,,0.106,0.045,0.05,0.105,0.122,0.124,0.128,0.27
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_16,12,,0.11,0.031,0.029,0.122,,0.303,0.231,0.071,0.093,0.12,0.325,0.079,0.1
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_17,12,,0.068,0.024,0.021,0.081,,0.207,0.148,0.049,0.106,0.227,0.196,0.169,0.087
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_18,12,,0.089,0.05,0.024,0.206,,0.243,0.16,0.078,0.084,0.212,0.207,0.215,0.233
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_19,12,,0.086,0.018,0.017,0.132,,0.089,0.118,0.119,0.101,0.11,0.138,0.235,0.069
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_2,12,,0.116,0.024,0.027,0.047,,0.13,0.201,0.184,0.13,0.16,0.153,0.068,0.128
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_20,12,,0.111,0.065,0.018,0.069,,0.096,0.058,0.09,0.097,0.084,0.264,0.137,0.197
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_21,12,,0.113,0.034,0.057,0.115,,0.219,0.203,0.103,0.13,0.124,0.065,0.256,0.208
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_22,12,,0.128,0.025,0.014,0.095,,0.303,0.05,0.058,0.082,0.294,0.177,0.125,0.075
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_23,12,,0.109,0.041,0.022,0.172,,0.114,0.29,0.152,0.144,0.283,0.128,0.161,0.175
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_24,12,,0.156,0.021,0.039,0.132,,0.178,0.113,0.082,0.098,0.162,0.271,0.18,0.215
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_25,12,0.097,0.114,0.061,0.018,0.068,,0.276,0.325,0.099,0.093,0.222,0.185,0.231,0.202
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_26,12,,0.046,0.022,0.021,0.06,,0.061,0.099,0.031,0.075,0.052,0.214,0.183,0.137
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_27,12,,0.171,0.031,0.026,0.086,,0.249,0.262,0.057,0.101,0.064,0.125,0.165,0.213
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_28,12,,0.114,0.069,0.021,0.074,,0.273,0.071,0.066,0.114,0.249,0.189,0.228,0.163
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_29,12,,0.054,0.012,0.017,0.023,,0.073,0.041,0.046,0.094,0.059,0.162,0.053,0.054
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_3,12,0.098,0.14,0.02,0.016,0.067,,0.174,0.103,0.111,0.111,0.286,0.128,0.235,0.077
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_30,12,,0.065,0.031,0.018,0.028,,0.133,0.27,0.161,0.097,0.132,0.326,0.122,0.195
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_4,12,,0.148,0.028,0.031,0.205,,0.211,0.224,0.104,0.094,0.476,0.072,0.121,0.257
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_5,12,,0.106,0.032,0.077,0.082,,0.202,0.226,0.097,0.065,0.199,0.302,0.212,0.109
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_6,12,,0.103,0.031,0.031,0.063,,0.302,0.156,0.085,0.119,0.272,0.241,0.305,0.255
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_7,12,,0.062,0.032,0.016,0.082,,0.204,0.225,0.104,0.093,0.231,0.2,0.257,0.199
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_8,12,,0.067,0.025,0.016,0.056,,0.179,0.162,0.111,0.173,0.067,0.12,0.131,0.084
RANDOM_Size_12_Type-tree_MinTransProb_0.1_Model_9,12,,0.068,0.019,0.017,0.134,,0.225,0.159,0.089,0.087,0.26,0.169,0.067,0.064
