Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_48,10481,1,1,1,13,,27,,,1825,1831,,926,25,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_49,9718,1,1,1,18,,20,,,1859,1706,,840,10,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_5,9726,1,1,1,890,,943,,,1468,,,791,191,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_50,11016,68,6200,68,36,,38,,,1472,1470,,948,29,21
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_51,9508,112,5400,111,26,,33,,,1316,1321,,819,24,15
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_52,9333,57,2000,44,179,,198,,,1380,1219,,750,80,57
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_53,9485,29,3000,28,35,,35,,,6031,6054,,717,29,14
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54,10993,27,2100,27,42,,49,,,1302,1300,,973,42,21
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55,10834,1,1,1,14,,13,,,1817,1797,,933,9,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56,10704,1,1,1,17,,33,,,3466,3431,,924,24,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57,9857,837,31900,835,24,,19,,,2512,2605,,750,8,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58,9583,51,3200,51,48,,64,,,1315,1316,,732,45,21
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59,9727,111,7000,105,20,,21,,,1312,,,750,8,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_6,9532,76,5000,72,14,,32,,,1339,1287,,796,24,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_60,9775,61,5300,60,244,,265,,,1228,1229,,777,61,25
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_61,9727,1,1,1,28,,48,,,1708,1694,,873,43,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_62,8744,22,22,11,19,,32,,,1157,1144,,696,27,21
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,11107,1,1,1,5072,,5772,,,7048,,,864,68,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,6652,1,1,1,15,,16,,,1002,1000,,599,11,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,9183,380,20500,297,18,,14,,,1948,1610,,742,10,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,9833,1,1,1,28,,173,,,1722,1670,,828,40,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,8437,88,6900,78,20,,22,,,1055,1068,,656,9,5
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,9815,1,1,1,17,,19,,,1762,1751,,923,13,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,9651,83,4500,82,66,,211,,,1119,1096,,774,54,55
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,9502,100,4800,103,35,,241,,,1335,1355,,885,41,18
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,9703,1,1,1,13,,14,,,1598,1465,,898,9,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,8893,32,2601,30,40,,40,,,984,1010,,702,30,20
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,7808,1,1,1,191,,265,,,1169,1061,,612,59,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,9421,166,4402,148,518,,739,,,1319,1346,,751,154,166
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,8964,1,1,1,692,,720,,,1184,1209,,949,152,1
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,7939,28,1800,28,40,,43,,,830,824,,638,37,28
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,9635,1,1,1,35,,40,,,1417,1404,,825,31,1
