Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_20, 10972, 68287, 1, 5500, 5471, 18, 5, 2.0E-4, 14533, 6.2237515, 7.5513124, 1.2133056, 5965, 5007, 0.06577915, 159, 831, 1, 27.17610062893082, 1.0, 1071, 1866, 1, 10.244631185807656, 4, 8, 2, 1238.625, 2147483637, 0, NaN, 0.0, 0.108, 0.119, 0.318, 0.061
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_21, 9081, 56614, 1, 4536, 4544, 19, 7, 0.0011, 11855, 6.2343354, 7.546966, 1.2105486, 4904, 4177, 0.067718215, 127, 724, 1, 28.212598425196852, 1.0, 843, 1803, 1, 10.772241992882563, 4, 8, 2, 1030.75, 2147483637, 0, NaN, 0.0, 0.151, 0.19, 0.215, 0.034
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_22, 10860, 68085, 1, 5329, 5530, 20, 5, 6.0E-4, 14662, 6.269337, 7.6243095, 1.2161269, 5889, 4971, 0.06530193, 155, 793, 1, 28.741935483870968, 1.0, 961, 1689, 1, 11.300728407908428, 4, 8, 2, 1238.375, 3, 3, 3.0, 3.0, 0.089, 0.114, 0.364, 0.057
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_23, 9428, 57274, 1, 4815, 4612, 19, 5, 0.0088, 12120, 6.0748835, 7.3643403, 1.2122604, 5203, 4225, 0.06331466, 138, 771, 1, 26.384057971014492, 1.0, 1108, 1880, 1, 8.509025270758123, 4, 6, 2, 1387.6666666666667, 2147483637, 0, NaN, 0.0, 0.082, 0.108, 0.212, 0.037
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_24, 10915, 68270, 1, 5372, 5542, 17, 5, 6.0E-4, 14784, 6.2546954, 7.6143837, 1.2173868, 5987, 4928, 0.06515383, 150, 888, 1, 29.58, 1.0, 1006, 1922, 1, 10.84990059642147, 4, 8, 2, 1239.625, 2, 2, 2.0, 2.0, 0.086, 0.113, 0.305, 0.067
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_25, 8277, 51393, 1, 4231, 4045, 17, 5, 4.0E-4, 10740, 6.2091336, 7.5125046, 1.2099118, 4490, 3787, 0.06524501, 127, 801, 1, 24.503937007874015, 1.0, 829, 1776, 1, 9.98431845597105, 4, 7, 2, 1065.0, 4, 4, 4.0, 4.0, 0.056, 0.076, 0.318, 0.046
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_26, 7754, 48727, 1, 3839, 3914, 18, 5, 0.01, 10334, 6.2841115, 7.620325, 1.2126336, 4108, 3646, 0.06666328, 107, 817, 1, 28.94392523364486, 1.0, 634, 1907, 1, 12.230283911671924, 4, 6, 2, 1187.6666666666667, 2147483637, 0, NaN, 0.0, 0.103, 0.128, 0.187, 0.076
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_27, 10791, 67698, 1, 5369, 5421, 19, 5, 0.0041, 14607, 6.2735615, 7.6318226, 1.2165056, 5751, 5040, 0.06598264, 150, 850, 1, 29.08, 1.0, 893, 1912, 1, 12.083986562150056, 4, 7, 2, 1415.0, 4, 4, 4.0, 4.0, 0.086, 0.114, 0.393, 0.053
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_28, 9821, 61089, 1, 5038, 4782, 17, 5, 8.0E-4, 12898, 6.2202425, 7.537216, 1.2117239, 5331, 4490, 0.06406117, 118, 825, 1, 32.23728813559322, 1.0, 1063, 1888, 1, 9.238946378174976, 4, 7, 2, 1252.142857142857, 2147483637, 0, NaN, 0.0, 0.087, 0.117, 0.304, 0.052
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_29, 10929, 68102, 1, 5480, 5448, 19, 6, 0.0017, 14463, 6.2313113, 7.559246, 1.2131068, 5950, 4979, 0.06518187, 161, 749, 1, 26.726708074534162, 1.0, 1016, 1863, 1, 10.756889763779528, 4, 9, 2, 1102.4444444444443, 2, 2, 2.0, 2.0, 0.159, 0.234, 0.491, 0.09
