Conf,Model,Verification Time,Number Of Verif. Phases,Iterations in Verif Phase,NumAborted,NumInduceLowerBound,NumFailedVerif
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_5,23,3,10,2,2,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_50,1,1,9,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_51,1,1,9,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_52,5,2,3,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_53,1,1,6,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_54,1,1,3,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_55,0,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_56,1,1,8,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_57,1,1,16,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_58,1,1,17,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_59,1,1,13,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_6,1,1,7,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_60,8,2,2,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_61,1,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_62,0,1,7,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_63,180,2,4,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_64,0,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_65,1,1,8,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_66,1,1,6,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_67,1,1,12,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_68,2,1,6,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_69,1,1,23,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_7,1,1,6,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_70,1,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_71,1,1,10,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_72,6,2,2,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_73,14,3,18,2,2,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_74,17,4,9,3,3,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_75,1,1,6,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_76,1,1,7,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_77,1,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_78,1,1,9,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_79,0,1,3,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_8,1,1,10,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_80,1,1,7,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_81,7,2,8,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_82,1,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_83,1,1,7,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_84,1,1,9,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_85,0,1,8,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_86,9,3,6,2,2,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_87,1,1,13,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_88,1,1,9,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_89,1,1,8,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_9,0,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_90,1,1,7,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_91,1,1,4,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_92,0,1,5,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_93,0,1,7,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_94,0,1,3,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_95,1,1,9,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_96,1,1,14,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_97,1,1,6,0,0,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_98,19,2,11,1,1,0
G_OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_99,1,1,11,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_1,1,1,14,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_10,1,1,17,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_100,14,3,16,2,2,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_11,4,2,2,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_12,1,1,14,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_13,1,1,6,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_14,5,2,8,1,1,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_15,1,1,17,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_16,0,1,5,0,0,0
OVI,RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_17,1,1,6,0,0,0
