Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_34,8832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_35,9243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36,8894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_37,9928,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.8999999999988546,0.9,0.9,0.01,0.9,0.9
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_38,10784,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.009999999999999929,0.01,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_39,9816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_4,9344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_40,9499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_41,9341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_42,11066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_43,10982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_44,10942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_45,9379,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.01,0.01,0.01,0.010000000000001667,0.010000000000000002,0.01,0.0,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_46,9656,0.010000000000000002,0.010000000000000002,0.010000000000000002,0.01,0.01,0.010000000000000002,0.01,0.01,0.010000000000124163,0.010000000000000002,0.01,0.01,0.010000000000000002,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_47,10838,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.010000000000000182,0.01,0.01,0.01,0.01,0.01
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_48,10481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_49,9718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_5,9726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
