Model,#States,BVI,D_BVI,G_BVI,G_OVI,LP_SI,OVI,SI,SI_SI,TOP_BVI,T_BVI,T_LP_SI,T_OVI,VI,WP_P3
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_36,8894,0.657,0.572,0.495,0.994,0.589,0.949,0.514,0.991,6.384,4.953,0.492,0.807,0.448,0.189
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_37,9928,1.426,7.797,1.498,5.632,1.371,5.594,1.484,2.143,4.062,3.121,0.792,0.806,0.973,0.456
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_38,10784,5.578,83.428,5.797,1.138,1.611,1.15,1.386,1.956,8.694,8.8,0.752,0.89,0.816,0.39
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_39,9816,0.914,0.459,0.636,0.962,0.62,1.0,0.553,0.906,6.913,5.206,0.431,0.852,0.484,0.226
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_4,9344,0.776,0.415,0.529,1.37,0.581,1.195,0.442,0.841,7.011,5.682,0.366,0.82,0.456,0.179
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_40,9499,0.606,0.508,0.549,7.772,0.771,7.771,0.563,0.987,10.915,8.659,0.491,0.785,1.009,0.244
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_41,9341,0.767,0.571,0.688,1.161,1.289,1.089,1.351,2.061,7.21,4.67,1.47,0.928,1.133,0.264
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_42,11066,0.721,0.621,0.749,1.048,0.656,1.065,0.633,0.862,10.466,5.176,0.488,0.792,0.678,0.245
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_43,10982,0.638,0.567,0.753,0.915,0.771,1.06,0.594,1.006,8.686,5.389,0.466,0.894,0.874,0.262
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_44,10942,0.683,0.518,0.694,2.237,0.713,6.943,0.636,1.176,7.822,5.989,0.5,0.948,0.748,0.238
RANDOM_Size_10002_MinAct_10_Type-scc_MinTransProb_0.0001_Model_45,9379,16.965,259.826,15.0,1.08,0.574,0.951,0.479,0.811,9.747,7.509,0.388,0.861,0.604,0.301
