Model,NumStates,NumActions,NumTargets,NumSinks,NumUnknown,NumMaxActions,NumMaxTransitions,SmallestTransProb,NumProbActions,AvgNumActionsPerState,AvgNumTransPerState,AvgNumTransPerAction,NumMaxStates,NumMinStates,NumBackwardsTransitions,NumMECs,BiggestMEC,SmallestMEC,AvgMEC,MedianMEC,NumSCCs,BiggestSCC,SmallestSCC,AvgSCC,MaxSCCDepth,NumNonSingleton,SmallestSCCNonSing,AvgSccNonSing,NearestTarget,FurthestTarget,TargetDistanceAverage,TargetDistanceMedian,Prob0InSec,Prob1InSec,MECCompInSec,SCCCompInSec
simple, 3, 3, 1, 0, 2, 1, 2, 0.5, 1, 1.0, 1.3333334, 1.3333334, 2, 1, 0.0, 1, 1, 1, 1.0, 1.0, 3, 1, 1, 1.0, 2, 0, 0, 0.0, 1, 1, 1.0, 1.0, 0.0, 0.0, 0.004, 0.001
simple_1_000_000_10_MEC, 1000014, 2000024, 1, 0, 1000013, 2, 3, 0.2, 21, 1.999996, 2.000037, 1.0000205, 1000002, 12, 0.50000477, 12, 100001, 1, 83334.33333333333, 100001.0, 14, 100001, 1, 71429.57142857143, 12, 10, 100001, 100001.0, , , , , 0.0, 0.001, 10.719, 0.536
simple_1_000_000_1_MEC, 1000005, 2000006, 1, 0, 1000004, 2, 3, 0.2, 3, 1.999996, 2.000001, 1.0000025, 1000002, 3, 0.50000024, 3, 1000001, 1, 333334.3333333333, 1.0, 5, 1000001, 1, 200001.0, 3, 1, 1000001, 1000001.0, , , , , 0.0, 0.0, 10.071, 0.445
simple_1_000_000_2_MEC, 1000006, 2000008, 1, 0, 1000005, 2, 3, 0.2, 5, 1.999996, 2.000005, 1.0000045, 1000002, 4, 0.5000008, 4, 500001, 1, 250001.0, 250001.0, 6, 500001, 1, 166667.66666666666, 4, 2, 500001, 500001.0, , , , , 0.0, 0.0, 10.225, 0.436
simple_1_000_000_4_MEC, 1000008, 2000012, 1, 0, 1000007, 2, 3, 0.2, 9, 1.999996, 2.000013, 1.0000085, 1000002, 6, 0.5000017, 6, 250001, 1, 166667.66666666666, 250001.0, 8, 250001, 1, 125001.0, 6, 4, 250001, 250001.0, , , , , 0.0, 0.0, 9.083, 0.468
simple_1_000_000_5_MEC, 1000009, 2000014, 1, 0, 1000008, 2, 3, 0.2, 11, 1.999996, 2.000017, 1.0000105, 1000002, 7, 0.50000226, 7, 200001, 1, 142858.14285714287, 200001.0, 9, 200001, 1, 111112.11111111111, 7, 5, 200001, 200001.0, , , , , 0.0, 0.0, 9.778, 0.472
