Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_20000_1,20000,42,141,25
RND_20000_10,20000,92,45,55
RND_20000_2,20000,1,16,1
RND_20000_3,20000,8,13,8
RND_20000_4,20000,253,435,
RND_20000_5,20000,1,16,1
RND_20000_6,20000,94,50,
RND_20000_7,20000,1,16,1
RND_20000_8,20000,1,13,1
RND_20000_9,20000,1,22,1
