Model,#States,BVI_1,OVI_1_opt,SVI_1
RND_20000_1,20000,3.333,2.212,3.429
RND_20000_10,20000,6.184,1.129,4.818
RND_20000_2,20000,1.074,0.96,1.041
RND_20000_3,20000,1.246,1.663,1.204
RND_20000_4,20000,13.784,10.187,
RND_20000_5,20000,1.133,1.102,0.982
RND_20000_6,20000,5.795,1.187,
RND_20000_7,20000,0.833,0.982,0.9
RND_20000_8,20000,0.967,1.055,1.07
RND_20000_9,20000,0.971,1.476,0.903
